"","Estimate log(RR)","Standard Error","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Percent of Estimation Missing","Power"
"1",-1.669,1.25,-4.466,0.8,-1.672,-1.809,0,0.07,0.28
"2",-1.622,3.599,-4.567,0.8,-1.577,-1.901,0.1,0.06,0.28
"3",-1.704,2.184,-4.656,0.8,-1.746,-1.988,0.2,0.06,0.3
"4",-1.789,2.285,-4.728,0.8,-1.775,-2.081,0.3,0.09,0.27
"5",-1.84,1.536,-4.81,0.8,-1.811,-2.175,0.4,0.08,0.28
"6",-1.872,1.976,-4.886,0.8,-2.013,-2.26,0.5,0.08,0.3
"7",-1.935,12.084,-4.954,0.8,-2.013,-2.354,0.6,0.11,0.29
"8",-1.945,2.243,-5.01,0.8,-2.001,-2.447,0.7,0.08,0.31
"9",-1.922,2.4,-5.081,0.8,-2.087,-2.537,0.8,0.08,0.37
"10",-2.041,2.221,-5.174,0.8,-2.146,-2.631,0.9,0.12,0.35
"11",-2.101,2.565,-5.217,0.8,-2.37,-2.719,1,0.14,0.37
