"","log(RR)","SE","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Missing","CI coverage"
"1",-1.29,2.315,-4.194,0.8,-1.456,-1.401,0,0.08,0.957
"2",-1.262,4.228,-4.255,0.8,-1.417,-1.403,0.1,0.08,0.967
"3",-1.312,6.707,-4.31,0.8,-1.314,-1.405,0.2,0.1,0.978
"4",-1.34,1.468,-4.363,0.8,-1.508,-1.407,0.3,0.1,0.967
"5",-1.248,2.413,-4.405,0.8,-1.394,-1.409,0.4,0.09,0.967
"6",-1.215,3.893,-4.442,0.8,-1.433,-1.411,0.5,0.1,0.956
"7",-1.21,2.443,-4.481,0.8,-1.379,-1.413,0.6,0.11,0.933
"8",-1.271,4.204,-4.505,0.8,-1.404,-1.414,0.7,0.15,0.953
"9",-1.382,2.571,-4.522,0.8,-1.407,-1.415,0.8,0.19,0.938
"10",-1.407,2.776,-4.54,0.8,-1.474,-1.417,0.9,0.21,0.924
"11",-1.456,2.463,-4.547,0.8,-1.526,-1.418,1,0.23,0.922
