"","log(RR)","SE","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Missing","CI coverage"
"1",-1.446,1.159,-4.303,0.8,-1.532,-1.401,0,0.08,0.891
"2",-1.476,1.348,-4.391,0.8,-1.577,-1.403,0.1,0.08,0.87
"3",-1.469,5.682,-4.473,0.8,-1.627,-1.405,0.2,0.08,0.87
"4",-1.508,1.765,-4.547,0.8,-1.67,-1.407,0.3,0.07,0.849
"5",-1.512,3.312,-4.621,0.8,-1.815,-1.409,0.4,0.06,0.862
"6",-1.65,2.439,-4.685,0.8,-1.784,-1.411,0.5,0.08,0.826
"7",-1.695,1.401,-4.742,0.8,-1.904,-1.413,0.6,0.08,0.826
"8",-1.797,10.291,-4.792,0.8,-1.843,-1.414,0.7,0.1,0.811
"9",-1.817,3.839,-4.851,0.8,-1.927,-1.416,0.8,0.1,0.8
"10",-1.798,4.132,-4.897,0.8,-2.095,-1.417,0.9,0.09,0.802
"11",-1.919,1.978,-4.925,0.8,-2.022,-1.418,1,0.11,0.775
