"","log(RR)","SE","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Missing","CI coverage"
"1",-1.353,1.07,-4.318,0.8,-1.456,-1.42,0,0.05,0.979
"2",-1.309,1.943,-4.381,0.8,-1.414,-1.422,0.1,0.04,0.969
"3",-1.302,1.256,-4.438,0.8,-1.486,-1.424,0.2,0.04,0.969
"4",-1.212,5.296,-4.497,0.8,-1.352,-1.427,0.3,0.03,0.938
"5",-1.315,1.226,-4.551,0.8,-1.412,-1.429,0.4,0.05,0.916
"6",-1.29,1.319,-4.605,0.8,-1.403,-1.431,0.5,0.05,0.916
"7",-1.315,1.628,-4.645,0.8,-1.422,-1.433,0.6,0.07,0.925
"8",-1.315,1.482,-4.687,0.8,-1.477,-1.434,0.7,0.07,0.892
"9",-1.229,4.688,-4.739,0.8,-1.463,-1.435,0.8,0.1,0.867
"10",-1.327,4.86,-4.764,0.8,-1.446,-1.436,0.9,0.16,0.893
"11",-1.274,8.198,-4.809,0.8,-1.477,-1.438,1,0.17,0.892
