"","Estimate log(RR)","Standard Error","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Percent of Estimation Missing","Truth CI coverage"
"1",-1.325,0.974,-4.314,0.8,-1.37,-1.42,0,0.04,0.958
"2",-1.321,0.956,-4.375,0.8,-1.406,-1.422,0.1,0.04,0.948
"3",-1.32,1.159,-4.436,0.8,-1.314,-1.425,0.2,0.05,0.937
"4",-1.315,1.105,-4.493,0.8,-1.441,-1.427,0.3,0.04,0.927
"5",-1.302,1.713,-4.562,0.8,-1.414,-1.429,0.4,0.05,0.937
"6",-1.32,2.475,-4.594,0.8,-1.479,-1.431,0.5,0.07,0.935
"7",-1.315,1.541,-4.651,0.8,-1.486,-1.433,0.6,0.07,0.903
"8",-1.406,3.63,-4.683,0.8,-1.518,-1.434,0.7,0.11,0.91
"9",-1.362,2.083,-4.728,0.8,-1.417,-1.435,0.8,0.1,0.911
"10",-1.29,10.844,-4.767,0.8,-1.381,-1.437,0.9,0.1,0.911
"11",-1.385,3.012,-4.804,0.8,-1.461,-1.438,1,0.15,0.882
