"","Estimate log(RR)","Standard Error","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Percent of Estimation Missing","Power"
"1",-1.399,1.704,-4.3,0.8,-1.468,-1.598,0,0.02,0.25
"2",-1.52,1.333,-4.388,0.8,-1.593,-1.687,0.1,0.03,0.21
"3",-1.561,1.273,-4.473,0.8,-1.651,-1.778,0.2,0.02,0.22
"4",-1.548,1.105,-4.553,0.8,-1.615,-1.866,0.3,0,0.22
"5",-1.629,0.798,-4.622,0.8,-1.693,-1.959,0.4,0,0.2
"6",-1.695,0.786,-4.688,0.8,-1.771,-2.051,0.5,0,0.21
"7",-1.759,0.735,-4.748,0.8,-1.881,-2.139,0.6,0,0.18
"8",-1.814,0.724,-4.796,0.8,-1.993,-2.23,0.7,0,0.18
"9",-1.869,0.723,-4.844,0.8,-1.93,-2.32,0.8,0,0.2
"10",-1.91,0.768,-4.898,0.8,-1.959,-2.41,0.9,0,0.21
"11",-1.96,4.002,-4.928,0.8,-2.164,-2.5,1,0.01,0.22
