"","log(RR)","SE","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Missing","CI coverage"
"1",-1.321,1.176,-4.239,0.8,-1.429,-1.409,0,0.03,0.959
"2",-1.34,1.282,-4.3,0.8,-1.464,-1.412,0.1,0.04,0.958
"3",-1.4,1.132,-4.374,0.8,-1.398,-1.414,0.2,0.06,0.915
"4",-1.397,1.106,-4.415,0.8,-1.443,-1.416,0.3,0.06,0.904
"5",-1.421,1.111,-4.461,0.8,-1.365,-1.419,0.4,0.07,0.903
"6",-1.435,1.154,-4.507,0.8,-1.455,-1.42,0.5,0.08,0.891
"7",-1.371,1.5,-4.544,0.8,-1.481,-1.422,0.6,0.08,0.913
"8",-1.338,1.861,-4.581,0.8,-1.579,-1.424,0.7,0.09,0.912
"9",-1.35,3.715,-4.613,0.8,-1.485,-1.425,0.8,0.13,0.908
"10",-1.378,2.422,-4.643,0.8,-1.381,-1.426,0.9,0.16,0.905
"11",-1.331,571.647,-4.666,0.8,-1.426,-1.428,1,0.19,0.914
