"","log(RR)","SE","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Missing","Power"
"1",-1.592,1.1,-4.366,0.8,-1.632,-1.701,0,0.1,0.34
"2",-1.609,1.261,-4.452,0.8,-1.61,-1.792,0.1,0.1,0.34
"3",-1.622,2.049,-4.535,0.8,-1.736,-1.883,0.2,0.1,0.32
"4",-1.689,8.621,-4.627,0.8,-1.773,-1.975,0.3,0.11,0.25
"5",-1.714,2.05,-4.695,0.8,-1.79,-2.067,0.4,0.1,0.32
"6",-1.825,1.789,-4.758,0.8,-1.799,-2.158,0.5,0.12,0.3
"7",-1.736,3.227,-4.828,0.8,-1.968,-2.248,0.6,0.1,0.32
"8",-1.835,2.605,-4.895,0.8,-1.829,-2.34,0.7,0.11,0.31
"9",-1.964,1.77,-4.966,0.8,-1.97,-2.426,0.8,0.13,0.32
"10",-1.982,3.728,-5.012,0.8,-2.133,-2.519,0.9,0.14,0.33
"11",-2.136,2.353,-5.094,0.8,-2.1,-2.61,1,0.18,0.34
