"","Estimate log(RR)","Standard Error","Initial Estimate","Bandwith","Smooth Truth","Truth","s1* ","Percent of Estimation Missing","Type I Error"
"1",-1.2797207598999,1.10931183987579,-4.19367126181727,0.8,-1.45741235127957,-1.59734977983477,0,0.07,0.29
"2",-1.29758861825308,1.24287086705294,-4.25792706290234,0.8,-1.34593073531911,-1.68813995285253,0.1,0.07,0.28
"3",-1.26468106735299,1.51657030950885,-4.30981059653269,0.8,-1.52045125835179,-1.77913240212199,0.2,0.06,0.32
"4",-1.17414810208398,3.81793884087971,-4.36209503052907,0.8,-1.39430277207059,-1.87120408159406,0.3,0.04,0.35
"5",-1.33337853448743,2.08311776531442,-4.41382645986559,0.8,-1.43704777462898,-1.96122620558788,0.4,0.06,0.37
"6",-1.32565748034858,2.3646756133168,-4.44602233495876,0.8,-1.40167960000884,-2.05139983653895,0.5,0.05,0.41
"7",-1.30511632361128,1.13830524297191,-4.47737064985347,0.8,-1.35412612945248,-2.14355214233374,0.6,0.03,0.45
"8",-1.31646017661308,1.42031330871512,-4.50792677529643,0.8,-1.33698792053889,-2.23141375355763,0.7,0.03,0.49
"9",-1.32434383715422,1.68479142425149,-4.52623299597985,0.8,-1.41068155182019,-2.32275188214414,0.8,0.04,0.5
"10",-1.35397538618778,2.07849095942982,-4.54428158670595,0.8,-1.35524011850691,-2.41430904366655,0.9,0.05,0.49
"11",-1.34132034188178,1.71015750488863,-4.55360982082402,0.8,-1.45201818209646,-2.50371060654869,1,0.06,0.47
