"","Estimate log(RR)","Standard Error","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Percent of Estimation Missing","Truth CI coverage"
"1",-1.339,0.656,-4.195,0.8,-1.383,-1.401,0,0.01,0.96
"2",-1.347,0.677,-4.256,0.8,-1.415,-1.403,0.1,0.01,0.96
"3",-1.344,0.736,-4.313,0.8,-1.215,-1.405,0.2,0.01,0.939
"4",-1.328,1.211,-4.364,0.8,-1.413,-1.407,0.3,0.01,0.909
"5",-1.359,1.072,-4.409,0.8,-1.441,-1.409,0.4,0.02,0.898
"6",-1.389,1.266,-4.454,0.8,-1.37,-1.411,0.5,0.03,0.918
"7",-1.39,0.948,-4.48,0.8,-1.435,-1.412,0.6,0.03,0.918
"8",-1.369,0.995,-4.506,0.8,-1.395,-1.414,0.7,0.03,0.928
"9",-1.358,1.254,-4.528,0.8,-1.466,-1.415,0.8,0.04,0.927
"10",-1.381,7.947,-4.542,0.8,-1.42,-1.417,0.9,0.06,0.915
"11",-1.344,1.586,-4.555,0.8,-1.455,-1.418,1,0.07,0.935
