"","log(RR)","SE","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Missing","Power"
"1",-1.497,1.858,-4.471,0.8,-1.692,-1.808,0,0.07,0.35
"2",-1.522,2.959,-4.553,0.8,-1.699,-1.897,0.1,0.07,0.36
"3",-1.732,1.135,-4.643,0.8,-1.697,-1.99,0.2,0.1,0.27
"4",-1.809,1.165,-4.73,0.8,-1.813,-2.083,0.3,0.1,0.25
"5",-1.826,2.16,-4.8,0.8,-1.766,-2.172,0.4,0.09,0.24
"6",-1.885,1.716,-4.88,0.8,-1.895,-2.265,0.5,0.09,0.24
"7",-1.986,1.585,-4.958,0.8,-2.028,-2.359,0.6,0.1,0.23
"8",-2.001,1.555,-5.015,0.8,-2.086,-2.445,0.7,0.08,0.26
"9",-2.042,1.335,-5.091,0.8,-2.087,-2.539,0.8,0.07,0.28
"10",-2.115,1.718,-5.174,0.8,-2.198,-2.625,0.9,0.08,0.26
"11",-2.192,1.676,-5.222,0.8,-2.134,-2.721,1,0.09,0.29
