"","log(RR)","SE","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Missing","CI coverage"
"1",-1.276,1.179,-4.238,0.8,-1.424,-1.409,0,0.04,0.99
"2",-1.285,1,-4.301,0.8,-1.396,-1.412,0.1,0.03,0.979
"3",-1.326,0.768,-4.365,0.8,-1.446,-1.414,0.2,0.03,0.969
"4",-1.349,0.741,-4.413,0.8,-1.368,-1.416,0.3,0.03,0.969
"5",-1.362,0.797,-4.47,0.8,-1.408,-1.419,0.4,0.03,0.969
"6",-1.398,0.83,-4.518,0.8,-1.37,-1.42,0.5,0.04,0.958
"7",-1.396,0.866,-4.566,0.8,-1.398,-1.422,0.6,0.04,0.958
"8",-1.401,1.059,-4.585,0.8,-1.518,-1.424,0.7,0.05,0.947
"9",-1.362,1.58,-4.619,0.8,-1.408,-1.425,0.8,0.05,0.958
"10",-1.424,1.799,-4.652,0.8,-1.492,-1.427,0.9,0.08,0.924
"11",-1.343,4.956,-4.682,0.8,-1.521,-1.428,1,0.09,0.923
