"","log(RR)","SE","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Missing","CI coverage"
"1",-1.359,0.652,-4.241,0.8,-1.413,-1.409,0,0.01,0.96
"2",-1.346,2.661,-4.305,0.8,-1.395,-1.412,0.1,0.01,0.96
"3",-1.397,0.578,-4.367,0.8,-1.477,-1.414,0.2,0.01,0.97
"4",-1.398,0.752,-4.432,0.8,-1.341,-1.417,0.3,0.01,0.97
"5",-1.459,0.579,-4.474,0.8,-1.326,-1.418,0.4,0.02,0.939
"6",-1.471,0.558,-4.553,0.8,-1.428,-1.42,0.5,0.02,0.918
"7",-1.481,0.583,-4.55,0.8,-1.498,-1.422,0.6,0.02,0.918
"8",-1.481,0.632,-4.593,0.8,-1.396,-1.424,0.7,0.02,0.908
"9",-1.462,0.708,-4.632,0.8,-1.343,-1.425,0.8,0.02,0.918
"10",-1.425,0.981,-4.651,0.8,-1.439,-1.427,0.9,0.02,0.918
"11",-1.342,3.774,-4.679,0.8,-1.35,-1.428,1,0.02,0.929
