"","Estimate log(RR)","Standard Error","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Percent of Estimation Missing","Power"
"1",-1.436,3.6,-4.305,0.8,-1.505,-1.598,0,0.02,0.44
"2",-1.504,1.328,-4.39,0.8,-1.662,-1.69,0.1,0.02,0.39
"3",-1.61,1.684,-4.473,0.8,-1.615,-1.779,0.2,0.03,0.32
"4",-1.666,2.073,-4.556,0.8,-1.544,-1.866,0.3,0.03,0.33
"5",-1.678,1.067,-4.622,0.8,-1.769,-1.957,0.4,0.02,0.29
"6",-1.712,1.215,-4.686,0.8,-1.665,-2.05,0.5,0.02,0.28
"7",-1.791,1.47,-4.744,0.8,-1.851,-2.139,0.6,0.03,0.26
"8",-1.732,10.357,-4.8,0.8,-1.871,-2.23,0.7,0.03,0.28
"9",-1.981,1.632,-4.854,0.8,-1.981,-2.319,0.8,0.07,0.26
"10",-1.979,1.857,-4.894,0.8,-2.068,-2.412,0.9,0.06,0.29
"11",-1.965,1.982,-4.948,0.8,-2.093,-2.501,1,0.05,0.34
