"","Estimate log(RR)","Standard Error","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Percent of Estimation Missing","Power"
"1",-1.513,0.928,-4.365,0.8,-1.566,-1.701,0,0.04,0.27
"2",-1.552,0.815,-4.455,0.8,-1.612,-1.793,0.1,0.03,0.26
"3",-1.64,0.884,-4.539,0.8,-1.657,-1.886,0.2,0.04,0.21
"4",-1.701,0.837,-4.632,0.8,-1.835,-1.973,0.3,0.04,0.2
"5",-1.743,1.17,-4.692,0.8,-1.916,-2.064,0.4,0.03,0.2
"6",-1.716,1.251,-4.766,0.8,-1.854,-2.157,0.5,0.01,0.28
"7",-1.829,0.865,-4.828,0.8,-1.97,-2.247,0.6,0.02,0.23
"8",-1.868,0.937,-4.896,0.8,-1.953,-2.337,0.7,0.02,0.26
"9",-1.906,1.606,-4.953,0.8,-1.984,-2.427,0.8,0.03,0.29
"10",-1.976,1.644,-5.012,0.8,-1.966,-2.519,0.9,0.05,0.28
"11",-2.06,2.416,-5.07,0.8,-2.06,-2.61,1,0.07,0.26
