"","Estimate log(RR)","Standard Error","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Percent of Estimation Missing","Truth CI coverage"
"1",-1.308,1.315,-4.24,0.8,-1.473,-1.409,0,0.08,0.957
"2",-1.344,1.445,-4.305,0.8,-1.394,-1.412,0.1,0.09,0.956
"3",-1.335,1.727,-4.366,0.8,-1.453,-1.414,0.2,0.09,0.956
"4",-1.402,2.379,-4.422,0.8,-1.407,-1.417,0.3,0.11,0.955
"5",-1.389,1.852,-4.483,0.8,-1.341,-1.419,0.4,0.1,0.911
"6",-1.319,2.252,-4.512,0.8,-1.39,-1.42,0.5,0.08,0.913
"7",-1.305,2.801,-4.56,0.8,-1.367,-1.422,0.6,0.07,0.925
"8",-1.267,2.035,-4.592,0.8,-1.4,-1.423,0.7,0.06,0.904
"9",-1.35,1.513,-4.626,0.8,-1.373,-1.425,0.8,0.08,0.902
"10",-1.357,1.637,-4.655,0.8,-1.429,-1.426,0.9,0.09,0.912
"11",-1.382,3.008,-4.682,0.8,-1.382,-1.428,1,0.12,0.932
