"","log(RR)","SE","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Missing","CI coverage"
"1",-1.216,1.649,-4.312,0.8,-1.482,-1.42,0,0.04,0.927
"2",-1.297,2.69,-4.376,0.8,-1.341,-1.422,0.1,0.08,0.913
"3",-1.297,2.676,-4.435,0.8,-1.397,-1.425,0.2,0.1,0.911
"4",-1.34,2.121,-4.502,0.8,-1.361,-1.427,0.3,0.11,0.921
"5",-1.425,1.423,-4.571,0.8,-1.36,-1.429,0.4,0.12,0.909
"6",-1.444,2.144,-4.586,0.8,-1.436,-1.431,0.5,0.15,0.894
"7",-1.363,3.131,-4.64,0.8,-1.515,-1.433,0.6,0.14,0.884
"8",-1.487,2.514,-4.682,0.8,-1.465,-1.434,0.7,0.16,0.869
"9",-1.461,2.728,-4.725,0.8,-1.533,-1.435,0.8,0.16,0.869
"10",-1.402,3.65,-4.767,0.8,-1.538,-1.437,0.9,0.16,0.881
"11",-1.44,37.304,-4.804,0.8,-1.472,-1.438,1,0.17,0.855
