"","log(RR)","SE","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Missing","Power"
"1",-1.569,0.549,-4.472,0.8,-1.614,-1.809,0,0.02,0.15
"2",-1.631,0.575,-4.557,0.8,-1.694,-1.899,0.1,0.02,0.17
"3",-1.666,0.649,-4.642,0.8,-1.828,-1.988,0.2,0.01,0.17
"4",-1.741,0.579,-4.726,0.8,-1.812,-2.083,0.3,0.01,0.2
"5",-1.798,0.599,-4.808,0.8,-1.952,-2.171,0.4,0.01,0.2
"6",-1.874,0.599,-4.874,0.8,-1.923,-2.263,0.5,0.01,0.17
"7",-1.917,0.746,-4.954,0.8,-1.864,-2.355,0.6,0.01,0.15
"8",-1.978,0.782,-5.025,0.8,-1.915,-2.447,0.7,0.01,0.17
"9",-2.048,0.936,-5.087,0.8,-1.961,-2.537,0.8,0.02,0.19
"10",-2.095,0.946,-5.178,0.8,-2.295,-2.628,0.9,0.02,0.22
"11",-2.126,6.9,-5.239,0.8,-2.145,-2.718,1,0.02,0.24
