"","Estimate log(RR)","Standard Error","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Percent of Estimation Missing","Truth CI coverage"
"1",-1.375,1.883,-4.236,0.8,-1.383,-1.41,0,0.06,0.936
"2",-1.342,3.448,-4.3,0.8,-1.394,-1.412,0.1,0.07,0.946
"3",-1.256,3.434,-4.358,0.8,-1.411,-1.414,0.2,0.06,0.936
"4",-1.295,15.626,-4.428,0.8,-1.28,-1.417,0.3,0.07,0.935
"5",-1.345,2.53,-4.464,0.8,-1.445,-1.419,0.4,0.1,0.922
"6",-1.255,5.803,-4.51,0.8,-1.425,-1.42,0.5,0.11,0.933
"7",-1.284,2.947,-4.554,0.8,-1.451,-1.422,0.6,0.13,0.931
"8",-1.378,2.338,-4.588,0.8,-1.442,-1.424,0.7,0.17,0.928
"9",-1.392,2.421,-4.617,0.8,-1.411,-1.425,0.8,0.19,0.914
"10",-1.358,7.138,-4.648,0.8,-1.463,-1.427,0.9,0.21,0.924
"11",-1.257,4.045,-4.671,0.8,-1.412,-1.428,1,0.23,0.935
