"","log(RR)","SE","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Missing","Power"
"1",-1.333,6.549,-4.303,0.8,-1.559,-1.598,0,0.11,0.4
"2",-1.415,2.319,-4.391,0.8,-1.597,-1.689,0.1,0.11,0.39
"3",-1.496,4.405,-4.472,0.8,-1.6,-1.779,0.2,0.12,0.33
"4",-1.61,2.222,-4.551,0.8,-1.615,-1.866,0.3,0.13,0.32
"5",-1.558,3.608,-4.62,0.8,-1.691,-1.956,0.4,0.11,0.31
"6",-1.616,2.561,-4.687,0.8,-1.865,-2.05,0.5,0.1,0.29
"7",-1.712,2.228,-4.744,0.8,-1.821,-2.138,0.6,0.11,0.33
"8",-1.823,2.45,-4.795,0.8,-1.83,-2.228,0.7,0.13,0.31
"9",-1.829,10.552,-4.838,0.8,-1.996,-2.317,0.8,0.12,0.34
"10",-1.813,20.131,-4.884,0.8,-2.005,-2.412,0.9,0.12,0.33
"11",-1.986,11.132,-4.932,0.8,-2.191,-2.496,1,0.15,0.33
