"","log(RR)","SE","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Missing","Power"
"1",-1.625,1.04,-4.464,0.8,-1.637,-1.805,0,0.04,0.25
"2",-1.658,0.793,-4.56,0.8,-1.656,-1.897,0.1,0.04,0.27
"3",-1.709,0.872,-4.636,0.8,-1.805,-1.99,0.2,0.04,0.22
"4",-1.755,1.319,-4.737,0.8,-1.816,-2.083,0.3,0.05,0.23
"5",-1.755,1.384,-4.794,0.8,-1.869,-2.173,0.4,0.04,0.28
"6",-1.803,1.748,-4.873,0.8,-1.92,-2.265,0.5,0.06,0.27
"7",-1.779,1.967,-4.951,0.8,-1.954,-2.355,0.6,0.04,0.31
"8",-1.837,1.619,-5.033,0.8,-2.136,-2.446,0.7,0.05,0.35
"9",-1.886,6.083,-5.103,0.8,-2.064,-2.536,0.8,0.1,0.32
"10",-2.031,2.879,-5.149,0.8,-2.087,-2.626,0.9,0.12,0.29
"11",-2.123,2.534,-5.223,0.8,-2.257,-2.72,1,0.14,0.31
