"","log(RR)","SE","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Missing","Power"
"1",-1.512,0.707,-4.469,0.8,-1.622,-1.809,0,0.01,0.31
"2",-1.568,0.752,-4.555,0.8,-1.704,-1.9,0.1,0.01,0.28
"3",-1.61,0.869,-4.638,0.8,-1.8,-1.989,0.2,0.01,0.29
"4",-1.629,1.171,-4.721,0.8,-1.853,-2.083,0.3,0,0.29
"5",-1.707,1.688,-4.793,0.8,-1.845,-2.172,0.4,0,0.29
"6",-1.78,1.634,-4.888,0.8,-1.905,-2.263,0.5,0.01,0.28
"7",-1.84,1.299,-4.955,0.8,-2.071,-2.352,0.6,0.01,0.26
"8",-1.929,0.933,-5.021,0.8,-2.064,-2.445,0.7,0.02,0.28
"9",-1.989,1.215,-5.103,0.8,-2.102,-2.537,0.8,0.02,0.28
"10",-1.96,2.045,-5.201,0.8,-2.134,-2.629,0.9,0.01,0.32
"11",-1.91,4.29,-5.233,0.8,-2.191,-2.718,1,0.01,0.3
