"","log(RR)","SE","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Missing","Power"
"1",-1.562,1.075,-4.467,0.8,-1.629,-1.808,0,0.03,0.27
"2",-1.629,0.853,-4.565,0.8,-1.816,-1.898,0.1,0.03,0.23
"3",-1.646,1.119,-4.651,0.8,-1.794,-1.988,0.2,0.02,0.21
"4",-1.699,0.834,-4.718,0.8,-1.84,-2.079,0.3,0.02,0.24
"5",-1.817,1.382,-4.796,0.8,-1.924,-2.174,0.4,0.04,0.24
"6",-1.819,10.095,-4.89,0.8,-1.852,-2.265,0.5,0.04,0.25
"7",-1.925,0.875,-4.952,0.8,-2.072,-2.356,0.6,0.04,0.26
"8",-1.955,1.129,-5.027,0.8,-2.141,-2.445,0.7,0.04,0.27
"9",-1.922,2.387,-5.083,0.8,-2.156,-2.538,0.8,0.04,0.3
"10",-2.003,1.718,-5.169,0.8,-2.114,-2.63,0.9,0.06,0.29
"11",-2.107,1.816,-5.256,0.8,-2.267,-2.719,1,0.09,0.27
