"","Estimate log(RR)","Standard Error","Initial Estimate","Bandwith","Smooth Truth","Truth","s1* ","Percent of Estimation Missing","Power"
"1",-1.51263355727782,1.4102072288856,-1.49816226816842,0.5,-1.85115579985458,-1.70224776796604,0,0.02,0.29
"2",-1.65729515252819,1.12494143991102,-1.64310120515578,0.5,-1.62000206078677,-1.79434781833004,0.1,0.03,0.27
"3",-1.6659797984806,1.43579933479503,-1.65385513555197,0.6,-1.79306282519348,-1.88230672724447,0.2,0.01,0.22
"4",-1.78586316469548,1.22579732566309,-1.76440409687676,0.6,-1.89586527757173,-1.97654439228166,0.3,0.02,0.16
"5",-1.86808873908698,0.814614867393408,-1.84960369321783,0.6,-1.93946945899621,-2.06475797428605,0.4,0.01,0.15
"6",-1.87841507945769,0.614204945976282,-1.85170921882036,0.7,-1.84594375328464,-2.15442779052541,0.5,0,0.13
"7",-1.9451416541858,0.627106483577291,-1.92018755528618,0.7,-1.96232715466328,-2.24780666852504,0.6,0,0.09
"8",-2.00016190232617,0.668237757359875,-1.98316867398205,0.7,-1.97615255748534,-2.33534116766279,0.7,0,0.12
"9",-2.00071184096828,0.54571189647208,-1.97106449073781,0.8,-2.05978467373992,-2.42726220837062,0.8,0,0.13
"10",-2.11589607274668,0.412500104078621,-2.14666327805728,1,-1.95827349148951,-2.51899628142365,0.9,0.05,0.01
"11",-2.02216356174819,0.444712555059138,-2.02532752450868,1,-1.99852141160818,-2.61003966949492,1,0,0.08
