"","log(RR)","SE","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Missing","Power"
"1",-1.603,0.959,-4.366,0.8,-1.511,-1.702,0,0.08,0.28
"2",-1.688,1.717,-4.454,0.8,-1.603,-1.792,0.1,0.09,0.27
"3",-1.707,1.049,-4.541,0.8,-1.65,-1.883,0.2,0.08,0.27
"4",-1.762,1.036,-4.618,0.8,-1.802,-1.977,0.3,0.08,0.3
"5",-1.707,2.616,-4.702,0.8,-1.765,-2.067,0.4,0.06,0.32
"6",-1.837,1.606,-4.767,0.8,-1.834,-2.154,0.5,0.08,0.29
"7",-1.763,1.757,-4.831,0.8,-1.997,-2.246,0.6,0.05,0.33
"8",-1.835,1.532,-4.887,0.8,-1.874,-2.335,0.7,0.06,0.33
"9",-1.922,1.704,-4.944,0.8,-1.996,-2.428,0.8,0.09,0.32
"10",-1.947,3.572,-5.011,0.8,-2.048,-2.522,0.9,0.1,0.3
"11",-2.079,2.132,-5.08,0.8,-2.222,-2.612,1,0.12,0.31
