"","Estimate log(RR)","Standard Error","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Percent of Estimation Missing","Truth CI coverage"
"1",-1.295,0.99,-4.24,0.8,-1.355,-1.41,0,0.02,0.98
"2",-1.334,0.927,-4.308,0.8,-1.346,-1.412,0.1,0.03,0.979
"3",-1.346,4.575,-4.368,0.8,-1.397,-1.415,0.2,0.04,0.979
"4",-1.388,1.04,-4.425,0.8,-1.381,-1.417,0.3,0.04,0.979
"5",-1.35,1.96,-4.472,0.8,-1.363,-1.419,0.4,0.03,0.969
"6",-1.382,0.86,-4.512,0.8,-1.404,-1.42,0.5,0.03,0.948
"7",-1.379,1.021,-4.568,0.8,-1.483,-1.422,0.6,0.03,0.938
"8",-1.329,1.061,-4.588,0.8,-1.297,-1.424,0.7,0.02,0.939
"9",-1.309,1.19,-4.621,0.8,-1.404,-1.425,0.8,0.02,0.939
"10",-1.278,5.086,-4.66,0.8,-1.376,-1.426,0.9,0.04,0.927
"11",-1.317,1.983,-4.686,0.8,-1.475,-1.428,1,0.06,0.915
