"","Estimate log(RR)","Standard Error","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Percent of Estimation Missing","Power"
"1",-1.498,0.93,-4.367,0.8,-1.558,-1.703,0,0.04,0.27
"2",-1.553,0.888,-4.456,0.8,-1.668,-1.794,0.1,0.04,0.25
"3",-1.605,0.945,-4.553,0.8,-1.745,-1.884,0.2,0.04,0.24
"4",-1.611,0.95,-4.625,0.8,-1.737,-1.973,0.3,0.02,0.24
"5",-1.598,3.672,-4.712,0.8,-1.715,-2.064,0.4,0.02,0.24
"6",-1.788,1.033,-4.76,0.8,-1.872,-2.159,0.5,0.05,0.23
"7",-1.844,0.928,-4.831,0.8,-1.866,-2.247,0.6,0.05,0.2
"8",-1.878,0.972,-4.89,0.8,-1.96,-2.339,0.7,0.05,0.29
"9",-1.9,1.472,-4.96,0.8,-2.034,-2.429,0.8,0.05,0.29
"10",-1.89,1.678,-5.02,0.8,-2.201,-2.516,0.9,0.05,0.3
"11",-2.056,2.34,-5.078,0.8,-2.182,-2.61,1,0.1,0.3
