"","log(RR)","SE","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Missing","Power"
"1",-1.586,0.519,-4.472,0.8,-1.716,-1.807,0,0.04,0.1
"2",-1.669,0.466,-4.559,0.8,-1.782,-1.901,0.1,0.04,0.09
"3",-1.753,0.449,-4.639,0.8,-1.745,-1.989,0.2,0.04,0.08
"4",-1.818,0.463,-4.726,0.8,-1.858,-2.078,0.3,0.04,0.07
"5",-1.887,0.471,-4.798,0.8,-1.917,-2.171,0.4,0.04,0.07
"6",-1.962,0.492,-4.892,0.8,-2.001,-2.264,0.5,0.04,0.07
"7",-2.025,0.506,-4.972,0.8,-1.861,-2.352,0.6,0.04,0.06
"8",-2.095,0.498,-5.021,0.8,-1.972,-2.446,0.7,0.04,0.06
"9",-2.142,0.547,-5.106,0.8,-2.136,-2.537,0.8,0.04,0.07
"10",-2.203,0.556,-5.159,0.8,-2.158,-2.624,0.9,0.04,0.08
"11",-2.244,0.61,-5.23,0.8,-2.182,-2.719,1,0.04,0.09
