"","Estimate log(RR)","Standard Error","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Percent of Estimation Missing","Power"
"1",-1.533,1.212,-4.365,0.8,-1.606,-1.703,0,0.06,0.34
"2",-1.613,1.049,-4.454,0.8,-1.606,-1.793,0.1,0.06,0.31
"3",-1.637,1.073,-4.546,0.8,-1.774,-1.884,0.2,0.05,0.31
"4",-1.7,1.006,-4.624,0.8,-1.581,-1.971,0.3,0.05,0.27
"5",-1.738,1.545,-4.701,0.8,-1.812,-2.067,0.4,0.05,0.29
"6",-1.803,1.087,-4.769,0.8,-2.015,-2.156,0.5,0.05,0.28
"7",-1.822,1.416,-4.825,0.8,-1.925,-2.248,0.6,0.05,0.3
"8",-1.797,2.269,-4.906,0.8,-1.935,-2.338,0.7,0.04,0.32
"9",-1.85,5.999,-4.965,0.8,-2.045,-2.43,0.8,0.05,0.33
"10",-1.927,2.5,-5.019,0.8,-2.067,-2.519,0.9,0.06,0.36
"11",-2.016,5.968,-5.077,0.8,-2.161,-2.613,1,0.08,0.37
