"","log(RR)","SE","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Missing","Power"
"1",-1.465,0.777,-4.369,0.8,-1.646,-1.702,0,0.01,0.28
"2",-1.496,0.883,-4.456,0.8,-1.629,-1.791,0.1,0,0.26
"3",-1.638,1.247,-4.541,0.8,-1.747,-1.881,0.2,0.02,0.22
"4",-1.667,1.127,-4.632,0.8,-1.735,-1.974,0.3,0.01,0.21
"5",-1.778,0.81,-4.704,0.8,-1.842,-2.065,0.4,0.02,0.19
"6",-1.83,1.129,-4.783,0.8,-1.798,-2.158,0.5,0.02,0.21
"7",-1.881,1.298,-4.833,0.8,-1.928,-2.247,0.6,0.02,0.22
"8",-1.875,2.669,-4.907,0.8,-1.967,-2.339,0.7,0.01,0.22
"9",-1.947,9.096,-4.986,0.8,-2.039,-2.428,0.8,0.02,0.22
"10",-2.059,0.965,-5.02,0.8,-2.167,-2.519,0.9,0.02,0.23
"11",-2.141,0.89,-5.107,0.8,-2.167,-2.611,1,0.03,0.2
