"","Estimate log(RR)","Standard Error","Initial Estimate","Bandwith","Smooth Truth","Truth","s1* ","Percent of Estimation Missing","Power"
"1",-1.64958786433603,1.40550004636929,-1.62284853223798,0.5,-1.72841458236268,-1.80679474820664,0,0.04,0.33
"2",-1.76202085832332,1.66466612454769,-1.72287174438856,0.5,-1.91489233944811,-1.89700437718854,0.1,0.05,0.29
"3",-1.75743455635243,0.869168627421107,-1.71993895753639,0.6,-1.86171693159411,-1.99003290204989,0.2,0.01,0.26
"4",-1.82763301596463,0.995631906408415,-1.79039728302002,0.6,-1.94542376319733,-2.07871174805681,0.3,0.01,0.26
"5",-1.95208526371027,0.813439768608499,-1.91866068734737,0.6,-2.01163979873943,-2.16620118736882,0.4,0.02,0.18
"6",-1.97860506532465,0.664904244339849,-1.9390226015199,0.7,-2.05959137632867,-2.25782143622197,0.5,0.02,0.13
"7",-1.98049557648023,2.23610845821729,-2.00388862413133,0.7,-2.0393400711532,-2.35108095430175,0.6,0.02,0.13
"8",-2.08443867841312,0.840710153273175,-2.04178327377079,0.7,-2.13862132421264,-2.4402961489626,0.7,0.03,0.15
"9",-2.01406937111333,0.721164858325765,-1.96283871940211,0.8,-2.08865580184357,-2.53169795968451,0.8,0.01,0.16
"10",-2.13140538976731,0.568730245606068,-2.19780829702348,1,-1.97574218641052,-2.62264020526835,0.9,0.08,0.07
"11",-2.08169587574195,0.534492426787314,-2.05645215910358,1,-2.05797626148625,-2.71345542089073,1,0.07,0.09
