"","Estimate log(RR)","Standard Error","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Percent of Estimation Missing","Truth CI coverage"
"1",-1.308,1.963,-4.237,0.8,-1.452,-1.41,0,0.07,0.957
"2",-1.382,2.736,-4.301,0.8,-1.382,-1.412,0.1,0.09,0.934
"3",-1.471,3.472,-4.359,0.8,-1.416,-1.414,0.2,0.11,0.921
"4",-1.493,1.201,-4.422,0.8,-1.439,-1.417,0.3,0.11,0.91
"5",-1.43,2.404,-4.48,0.8,-1.433,-1.418,0.4,0.1,0.911
"6",-1.539,2.075,-4.513,0.8,-1.427,-1.42,0.5,0.12,0.898
"7",-1.538,1.899,-4.558,0.8,-1.484,-1.422,0.6,0.13,0.862
"8",-1.433,2.844,-4.589,0.8,-1.406,-1.424,0.7,0.11,0.865
"9",-1.457,2.647,-4.625,0.8,-1.478,-1.425,0.8,0.12,0.841
"10",-1.499,10.568,-4.649,0.8,-1.466,-1.426,0.9,0.14,0.837
"11",-1.497,5.545,-4.674,0.8,-1.473,-1.428,1,0.14,0.849
