"","Estimate log(RR)","Standard Error","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Percent of Estimation Missing","Truth CI coverage"
"1",-1.317,0.813,-4.313,0.8,-1.344,-1.42,0,0.04,0.958
"2",-1.342,0.795,-4.374,0.8,-1.45,-1.422,0.1,0.05,0.958
"3",-1.267,4.947,-4.443,0.8,-1.492,-1.425,0.2,0.04,0.948
"4",-1.327,0.936,-4.496,0.8,-1.415,-1.426,0.3,0.05,0.937
"5",-1.301,1.116,-4.572,0.8,-1.47,-1.429,0.4,0.05,0.926
"6",-1.341,1.749,-4.591,0.8,-1.312,-1.431,0.5,0.08,0.891
"7",-1.277,3.496,-4.642,0.8,-1.458,-1.432,0.6,0.07,0.882
"8",-1.28,20.275,-4.68,0.8,-1.338,-1.434,0.7,0.09,0.89
"9",-1.253,3.416,-4.722,0.8,-1.407,-1.435,0.8,0.09,0.89
"10",-1.354,4.271,-4.763,0.8,-1.464,-1.436,0.9,0.13,0.885
"11",-1.334,3.049,-4.797,0.8,-1.46,-1.438,1,0.14,0.86
