"","log(RR)","SE","Initial Estimate","Bandwith","Smooth Truth","Truth","s1star","Missing","CI coverage"
"1",-1.339,0.875,-4.192,0.8,-1.347,-1.401,0,0.03,0.969
"2",-1.332,0.926,-4.253,0.8,-1.442,-1.403,0.1,0.03,0.979
"3",-1.326,1.523,-4.322,0.8,-1.457,-1.405,0.2,0.03,0.959
"4",-1.362,2.076,-4.36,0.8,-1.41,-1.407,0.3,0.03,0.948
"5",-1.317,1.433,-4.414,0.8,-1.427,-1.409,0.4,0.02,0.959
"6",-1.381,0.79,-4.444,0.8,-1.299,-1.411,0.5,0.03,0.959
"7",-1.38,0.848,-4.479,0.8,-1.397,-1.413,0.6,0.03,0.938
"8",-1.326,1.141,-4.502,0.8,-1.301,-1.414,0.7,0.02,0.939
"9",-1.316,0.985,-4.526,0.8,-1.383,-1.416,0.8,0.02,0.949
"10",-1.315,1.429,-4.542,0.8,-1.536,-1.417,0.9,0.04,0.938
"11",-1.39,1.883,-4.552,0.8,-1.46,-1.418,1,0.07,0.925
