"","X","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent","power","bias.mean","bias.sd","bias.min","bias.max","ci.coverage.true.psi","ci.coverage.smooth.true.psi"
"1",0,-1.32092698435073,1.17576561895971,0.29588452870679,0.00262303054572559,0.284214620007306,0.00489442014507474,0.000494128533391706,0.00435219072520607,-4.23861049952554,0.8,-1.42881507446181,0.295482053105093,0.00259362765896138,0.284723962339494,-1.40942881215887,0.366781662437336,0.00326196351616906,0.353428434725406,0,0.03,0.34,0.0885018278081375,0.815433141714439,-0.982327298129631,3.42907948665071,0.958762886597938,0.958762886597938
"2",0.1,-1.33953337255913,1.28197581767435,0.302389113051306,0.00255289698156695,0.291010517407965,0.00485685964832839,0.000485371421505898,0.00430151856654809,-4.29963650185238,0.8,-1.46351015420061,0.301572722150208,0.00246234713452353,0.290975557487537,-1.41204295550536,0.380226354751325,0.00312318511289782,0.367407766737335,0.1,0.04,0.34,0.0725095829462271,0.793533027812562,-0.92363770806352,3.64425147846864,0.958333333333333,0.96875
"3",0.2,-1.39991831248082,1.13209278922552,0.307137711468141,0.00246822541675562,0.296123981012686,0.00482633054297718,0.000475142143194315,0.00425631547964868,-4.37446868060893,0.8,-1.39838125042824,0.307876531754582,0.00245371244277521,0.29799511249186,-1.41431657667365,0.390241877570074,0.00296444885333923,0.378047101029521,0.2,0.06,0.34,0.0143982641928357,0.674765448212642,-0.916527929388151,2.57241300688018,0.914893617021277,0.904255319148936
"4",0.3,-1.39675921497991,1.10563738219674,0.310090106925285,0.0023729063461067,0.299549163813317,0.00480759260306369,0.00046337452123278,0.00422161364616898,-4.41454799425762,0.8,-1.4432929193619,0.310459829016844,0.00231314002972441,0.300706232874351,-1.41644170941289,0.396535966045686,0.00278508677998259,0.385054653218923,0.3,0.06,0.38,0.0196824944329825,0.680122939947873,-0.946904800183277,2.88055078803196,0.904255319148936,0.946808510638298
"5",0.4,-1.421037519039,1.11057230703395,0.311204126238235,0.00226836272805468,0.301145908409061,0.0047984682126127,0.000450400687524796,0.00420651139890295,-4.46149734757053,0.8,-1.36499598505894,0.311149069830077,0.00230821452165185,0.302201601351506,-1.41850042069522,0.398922333786082,0.00258499681517411,0.38824391577119,0.4,0.07,0.38,-0.00253709834377942,0.646988532192694,-1.03103414328757,2.58521595073235,0.903225806451613,0.870967741935484
"6",0.5,-1.43532670701993,1.15389628717389,0.310406946448616,0.00215372885419494,0.300962703087967,0.00480216733513212,0.000436267418426046,0.00421059035040884,-4.50701539066183,0.8,-1.45455349303709,0.310519868187297,0.00213315790481135,0.301538402544929,-1.42045749122423,0.397329831578688,0.00237718007154632,0.387490651005274,0.5,0.08,0.42,-0.0148692157956956,0.612670977408676,-1.07018725498916,1.59446356424986,0.891304347826087,0.923913043478261
"7",0.6,-1.37102986869773,1.50044667749109,0.30766331071066,0.00203373823482999,0.298916799373436,0.00481629422095006,0.000420627461858559,0.00423733245294988,-4.54424546886493,0.8,-1.48108935308909,0.308201412024342,0.00192747953891732,0.299814714045683,-1.42210212393576,0.391805971182121,0.00216651117531378,0.382823992112953,0.6,0.08,0.43,0.0510722552380381,0.757563954953247,-1.15927217696088,3.01400805157625,0.91304347826087,0.923913043478261
"8",0.7,-1.33765763805021,1.86097543014397,0.30315740172386,0.00190802749940645,0.295107084670595,0.00484410751132252,0.000404278892889817,0.00427803747629183,-4.58117384589009,0.8,-1.57922308614819,0.303156315207102,0.00170446874223383,0.295019039435655,-1.4240191460162,0.382514570662924,0.00195465315196737,0.374395368383966,0.7,0.09,0.44,0.0863615079659844,0.825520912828064,-1.26848306509308,3.56429424218527,0.912087912087912,0.967032967032967
"9",0.8,-1.34993157321848,3.71459191926063,0.296892061597608,0.00177991256771648,0.289559463146068,0.0048841138908444,0.000386876337053709,0.00432518531487486,-4.61335677120576,0.8,-1.48501918150596,0.298137989174219,0.00168735363905201,0.290737250120263,-1.42519401296901,0.369727684111432,0.00174340161087564,0.362477461549819,0.8,0.13,0.45,0.075262439750534,0.881187622227062,-1.37148771830728,3.74146808455312,0.908045977011494,0.919540229885057
"10",0.9,-1.37823981511182,2.42176562069487,0.28900847844144,0.0016498389978703,0.282397662952866,0.00492381730270844,0.000368760408585521,0.0043754857708084,-4.64291134332724,0.8,-1.38115448523746,0.289158032728831,0.00172134819188535,0.282416366711563,-1.42637083768446,0.35381237049778,0.00154399519086143,0.347383851565736,0.9,0.16,0.43,0.048131022572637,0.851802277851857,-1.45448391310992,3.10504535962696,0.904761904761905,0.892857142857143
"11",1,-1.33136461749523,571.647407982709,0.27965926178024,0.00152010322829989,0.273770050529544,0.00496403145233992,0.000350066504187994,0.00442281772203347,-4.66590408487564,0.8,-1.4257197712872,0.279862492733411,0.00150519194108556,0.273672153956536,-1.42766747422586,0.335213199487106,0.00134952228516927,0.329587090166413,1,0.19,0.44,0.0963028567306275,1.39266262674456,-1.53552339278235,10.7531910843826,0.91358024691358,0.91358024691358
