"","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent","power"
"0",-2.17850464621351,3.43490161335525,0.34341541779512,0.00246800544812974,0.334686843871544,0.0233899830949095,0.000612604510950599,0.0104181840376967,-2.35147182975887,0.5,-1.72762949229702,0.333811639380657,0.00237377050496378,0.320630897479632,-1.70332835921113,0.366781662437336,0.00254177074222475,0.35282175676998,0,0.44,0.23
"0.1",-2.25814962673861,17.1116047951383,0.354122712633449,0.00229916463447687,0.3450845429797,0.0234530460078091,0.000584972737271912,0.0104190287659761,-2.35669446168043,0.5,-1.71716583589265,0.345182626395506,0.00238907175443001,0.33188610501511,-1.79386945251097,0.380226354751325,0.00232813618249773,0.366228032569112,0.1,0.44,0.25
"0.2",-2.08146127027312,3.17338912413808,0.353972338968464,0.00211735821652502,0.347355772073544,0.0191042361502837,0.000517372597617438,0.00849914463015576,-2.61161549433725,0.6,-1.73601390503618,0.337308235222273,0.0022232531807057,0.325033233702024,-1.88423668052604,0.390241877570074,0.00210965448814595,0.376357547586344,0.2,0.43,0.26
"0.3",-2.18505591727999,3.38389539795686,0.358848919191025,0.00195091054019081,0.352243563402577,0.0190780073589642,0.000492414324073504,0.00846153859558002,-2.45543785137753,0.6,-1.84211946089311,0.341422926587557,0.0019165282557458,0.329654092205091,-1.97336170825799,0.396535966045686,0.00189723706116646,0.38288568162965,0.3,0.45,0.25
"0.4",-2.43528426793245,4.00918252465415,0.360955980827449,0.00178537131325318,0.354423756936134,0.01905088595996,0.000467419118072209,0.00846874951573846,-2.59557796379338,0.6,-1.83647978380222,0.342709101566245,0.00180862045968303,0.331406077524636,-2.0633246403536,0.398922333786082,0.00168791816853165,0.385634876128943,0.4,0.48,0.21
"0.5",-2.02277625589798,3.541572225293,0.351641281993144,0.00163731897749407,0.347753907758953,0.015705672868879,0.000416253678468803,0.00700412753127127,-2.68711066571547,0.7,-1.8488553611696,0.324238271466517,0.00169212923339677,0.313647178032795,-2.15617183686039,0.397329831578688,0.00148010530013441,0.384544672249724,0.5,0.45,0.24
"0.6",-2.01168038477118,6.40273983643327,0.348457130064932,0.00148529410382785,0.344338484541956,0.0157308981754031,0.000392573698023395,0.00702178799833682,-2.98418024360332,0.7,-1.90640873936013,0.321896655459827,0.00157738203779671,0.31146907337239,-2.24602751603564,0.391805971182121,0.00128937764274195,0.379621196804438,0.6,0.43,0.25
"0.7",-2.34768521113633,3.22124919457845,0.342713549691468,0.00134099409398716,0.338140792296241,0.0157714435696683,0.000368515049833882,0.00708035453193265,-3.16389248666898,0.7,-2.10110665125564,0.317728747020444,0.00122548568438812,0.307798645811386,-2.33815474508742,0.382514570662924,0.00111025962967871,0.371009951354944,0.7,0.43,0.21
"0.8",-2.35103752966606,4.02666355604284,0.327028794473612,0.00122449881508887,0.323903327814821,0.013391182228179,0.000330578886288409,0.00604904034733861,-3.36648038634347,0.8,-2.05886406645495,0.296455137724193,0.00120134328149393,0.287176448749782,-2.42889782267716,0.369727684111432,0.000946752534729264,0.358985480051397,0.8,0.46,0.23
"0.9",-2.23051097233088,1.83997875073933,0.303545490309506,0.00114194270614329,0.303213287912464,0.0102179588993114,0.000291744077972584,0.00462784285077231,-3.52534199366465,1,-1.94469551455863,0.266031022611454,0.00124138121788079,0.257377390574159,-2.51882265440523,0.35381237049778,0.000800939135255191,0.343869534082072,0.9,0.5,0.21
"1",-2.36090279711698,1.73772764047287,0.293133682047624,0.00103181029795984,0.290939055719655,0.010396117479878,0.000274306745523581,0.00474228546697967,-3.47466666025486,1,-1.9685713061488,0.258234023549033,0.00113599860524423,0.250199624413297,-2.60970237447551,0.335213199487106,0.000669830098907498,0.32610685659342,1,0.44,0.22
