"","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent","bias.mean","bias.sd","bias.min","bias.max","ci.coverage.true.psi","ci.coverage.smooth.true.psi"
"0",-1.73263284887596,13.4614031317628,0.341329208970718,0.00259362941275693,0.333946058330915,0.0233871646315178,0.000620363463400515,0.00739359916316454,-1.89514038806759,0.5,-1.71072519183756,0.333624857007156,0.00234602340425236,0.320726790650187,-1.70456394694453,0.366781662437336,0.00253717561331155,0.352829765976762,0,0.393939393939394,-0.0280689019314298,1.19420711700309,-2.40745630721443,3.20157715799106,0.883333333333333,0.883333333333333
"0.1",-1.92717309124887,4.2391670178412,0.35216460815482,0.00241576592955301,0.344505704521445,0.0234806218672063,0.000592337330021489,0.00739720650523114,-1.94857039222361,0.5,-1.7038661421745,0.34183405656466,0.0022984317115065,0.329330143558119,-1.79381442223624,0.380226354751325,0.00232731674582842,0.366233729613259,0.1,0.404040404040404,-0.133358669012635,1.09304799912413,-2.20853820305808,2.5448070910918,0.88135593220339,0.88135593220339
"0.2",-1.9025799628922,4.3422696522206,0.352131358688222,0.00223786056151866,0.346738455892263,0.0191891421636632,0.000523648502644829,0.00605017451296759,-2.16015344489108,0.6,-1.74628255618891,0.336431179466383,0.00210709476449295,0.324466661589159,-1.88586892064004,0.390241877570074,0.00210506483276878,0.376365121895734,0.2,0.424242424242424,-0.016711042252166,1.09153750403199,-1.7691471429738,3.40872883662799,0.894736842105263,0.87719298245614
"0.3",-1.97535531213713,2.55058730919627,0.35723450953438,0.00206891678459002,0.35144970193095,0.0191973483778263,0.000497422863234861,0.00603503044278317,-2.3239746507865,0.6,-2.00629462061521,0.340545042444085,0.00163044651013134,0.32865029526432,-1.97226988742199,0.396535966045686,0.00189836973895762,0.382892436638366,0.3,0.404040404040404,-0.00308542471513861,1.00949251331062,-1.56305700753668,2.3667977846203,0.915254237288136,0.915254237288136
"0.4",-1.92489132389271,6.68396532734052,0.359586278481006,0.00190215303724259,0.353280936131411,0.0191980277563814,0.000471151364069289,0.00603305723806662,-2.38517401129815,0.6,-1.86330506204945,0.341298332486737,0.00178671148845053,0.32992274291622,-2.06512856631925,0.398922333786082,0.00168281183316323,0.385651155058967,0.4,0.393939393939394,0.140237242426546,1.33892467813803,-1.53514153923507,4.95945319041812,0.916666666666667,0.883333333333333
"0.5",-1.88877355668062,8.79364272315136,0.350485142389128,0.00174727208043278,0.346182147119051,0.0159003995650219,0.000420093201797472,0.00498931639732768,-2.40527753154904,0.7,-1.87780009840292,0.326750322259133,0.00163354906748408,0.316292349688668,-2.15598392945317,0.397329831578688,0.0014811251503707,0.384538266632315,0.5,0.414141414141414,0.267210372772541,1.20154520521115,-1.4886548809016,4.6981278578213,0.913793103448276,0.844827586206897
"0.6",-1.96964327249686,3.48904050524382,0.347623491546148,0.00158295285855381,0.342417230894266,0.0159440184112501,0.000395626735090312,0.00500627108150487,-2.59226327569717,0.7,-1.84802643734201,0.322983840873395,0.00161821501851511,0.312771231482729,-2.24364494205699,0.391805971182121,0.00129389259005206,0.379607628112522,0.6,0.383838383838384,0.274001669560129,1.19211771397763,-1.64243636343056,3.90300341070477,0.885245901639344,0.852459016393443
"0.7",-2.23913147572825,11.2640194157924,0.342241529340373,0.00143855862863994,0.335983422670415,0.0159994737178188,0.000371911229209044,0.00502964391443734,-2.78918897953976,0.7,-2.00444276427762,0.317258652385535,0.00139426469058544,0.307203833695266,-2.33846285123994,0.382514570662924,0.00111084141433749,0.371000375797362,0.7,0.383838383838384,0.0993313755116937,1.04445734536763,-1.65273216380292,2.83656177832892,0.885245901639344,0.852459016393443
"0.8",-2.19548844372802,2.72002180469471,0.326886198890062,0.00130511580377647,0.32175207820014,0.0136775431589296,0.000333752629626485,0.00427962066669022,-2.9479514677582,0.8,-1.97266727014471,0.297171418618745,0.00127067578497655,0.288223703514431,-2.42617202992788,0.369727684111432,0.000950167505460778,0.3589760791568,0.8,0.393939393939394,0.230683586199863,1.16892200803926,-1.66075262150315,3.29483695246478,0.9,0.8
"0.9",-2.35425692650599,4.57068884428664,0.303715383625528,0.001214741036931,0.301281346026142,0.01060514962293,0.000296042370941398,0.00327239773064247,-3.04494632638928,1,-2.02741585753981,0.266030748598165,0.00112529800524504,0.257560320736332,-2.52243963964866,0.35381237049778,0.000797148683198563,0.343880730943522,0.9,0.484848484848485,0.168182713142675,0.862564469370908,-1.48141698645171,1.97945758192724,0.92156862745098,0.784313725490196
"1",-2.20689088171984,11.9022985960842,0.293754173370602,0.00108860002013934,0.289344174091151,0.0108298820040631,0.000278050273359284,0.00335194826137725,-3.32719125212745,1,-1.86238576435333,0.25786858362006,0.00126868908891508,0.249824423399852,-2.60693325793252,0.335213199487106,0.000671691038914217,0.326106808710059,1,0.383838383838384,0.400042376212685,1.41462490189449,-1.5232291456253,6.92309912287857,0.901639344262295,0.721311475409836
