"","X","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent","bias.mean","bias.sd","bias.min","bias.max","ci.coverage.true.psi","ci.coverage.smooth.true.psi","power"
"1",0,-1.52138272531355,0.757994420163791,0.321705911433159,0.00241484213939125,0.309301953641566,0.00364250319981374,0.000515627568761061,0.0043576320000937,-1.50828399061409,0.6,-1.65186378817228,0.321210907819191,0.00225186690419566,0.309524843136871,-1.70249747949277,0.366781662437336,0.00254363701832725,0.352823109512031,0,0.01,0.181114754179222,0.680329229974752,-0.852241061560075,3.35160783799174,0.96969696969697,0.94949494949495,0.25
"2",0.1,-1.59902623217038,0.846971457172669,0.330465914494556,0.00227163747919461,0.317793936025409,0.003630815985945,0.000496330840385909,0.00435165339090243,-1.58084355694951,0.6,-1.59854203587863,0.329401531696623,0.00238095288098794,0.317724917618933,-1.79057485544787,0.380226354751325,0.00233574430842528,0.366228480800705,0.1,0.01,0.191548623277487,0.728724353668983,-0.840265044589855,3.38026824309394,0.97979797979798,0.929292929292929,0.23
"3",0.2,-1.66821627027014,1.29864022618146,0.336936780673961,0.00211694014088684,0.324137459525793,0.00362000346060492,0.000476296123766761,0.00434409401597198,-1.64976403013474,0.6,-1.87989768490328,0.335617660966372,0.00192894206666009,0.323534949260085,-1.88159781450534,0.390241877570074,0.00211656850704492,0.376348754659892,0.2,0.01,0.213381544235207,0.814157065305662,-0.781814413426357,4.85024613434181,0.97979797979798,0.97979797979798,0.22
"4",0.3,-1.79999885631322,0.894141694208369,0.341010435219165,0.00196309177314858,0.328177460713448,0.00361264267330716,0.000455560792695676,0.00433667953128352,-1.77600494283844,0.6,-1.82771507521271,0.339507174459285,0.00190832329481831,0.327859465558417,-1.97412001599665,0.396535966045686,0.00189537326954747,0.38288874641057,0.3,0.02,0.174121159683435,0.655994044917814,-0.764506478812931,3.18665069331042,0.979591836734694,0.959183673469388,0.15
"5",0.4,-1.86577515290136,0.81855780041814,0.342631893055262,0.00180157917352933,0.329886398028833,0.00361002878610941,0.000434446656563542,0.00433100582937781,-1.84506538209924,0.6,-1.88238678796341,0.342544275339049,0.00177167695797224,0.33104292302902,-2.0667170626274,0.398922333786082,0.00168031062961443,0.385649813717314,0.4,0.01,0.200941909726042,0.663152202076813,-0.956008587854296,3.19755908983902,0.97979797979798,0.939393939393939,0.15
"6",0.5,-1.9432351589524,0.831849124007182,0.341680605525649,0.00164592882888049,0.329182846943541,0.00361231059429787,0.000412774338054331,0.00432947125847772,-1.92349738590623,0.6,-1.87926504458027,0.33998735725045,0.00169781461483393,0.328930563046729,-2.15599096324689,0.397329831578688,0.00147981294942579,0.384549509409191,0.5,0.01,0.212755804294491,0.669063716195377,-1.16823807581727,3.19646623598609,0.96969696969697,0.919191919191919,0.17
"7",0.6,-1.98152179321385,1.45725898789319,0.338240758957498,0.00150391653011772,0.326078838821341,0.00361950398568085,0.000390462321861519,0.00433127962439812,-1.9482020080398,0.6,-2.01189310164945,0.339087031521625,0.00146113620936239,0.328466524255964,-2.24561737710002,0.391805971182121,0.00129227222807901,0.379598850265992,0.6,0.01,0.264095583886172,0.776483810471047,-1.34234357833501,3.96569198074573,0.97979797979798,0.939393939393939,0.18
"8",0.7,-2.08985130314015,1.0370277347959,0.332376393427233,0.00135106920572082,0.320703278941378,0.00363054188992405,0.000367629271356079,0.00433265767656475,-2.07150695669265,0.6,-2.10340365402097,0.330202861226926,0.00124242559841111,0.320149083454289,-2.3386172593075,0.382514570662924,0.00110941501696149,0.371013385082954,0.7,0.02,0.248765956167347,0.697861111946465,-1.48535490064805,3.45303721925202,0.979591836734694,0.938775510204082,0.13
"9",0.8,-2.15168775467017,0.948649065606914,0.324201404378659,0.00120376100718932,0.31311069094051,0.00364275624007829,0.000344279753344754,0.00433521193634476,-2.13448703494289,0.6,-2.10685980179002,0.323203530255209,0.00121909277134392,0.31341158387675,-2.42864705990759,0.369727684111432,0.000948547088826111,0.358967816890006,0.8,0.02,0.276959305237415,0.70394849701673,-1.76346659901695,3.43659360929781,0.979591836734694,0.928571428571429,0.17
"10",0.9,-2.22030769013967,8.48840563862575,0.313877204090893,0.00105924817669681,0.303457077450341,0.00365273513561783,0.000320699117141073,0.00433381225742987,-2.12715030163624,0.6,-2.3205433375854,0.313902078425424,0.000999943681667387,0.304205719794013,-2.52058139363252,0.35381237049778,0.000800004102437769,0.343863659743387,0.9,0.03,0.300273703492854,0.724696162600043,-1.63592813774936,3.34694917960637,0.969072164948454,0.938144329896907,0.17
"11",1,-2.23432638240674,1.4347181838819,0.301642780371566,0.000929758593555127,0.291965582234189,0.00365815734561224,0.000296979250716241,0.00432717973765513,-2.25939239546305,0.6,-2.28883039128928,0.302126568394363,0.000969841785944807,0.293107162369446,-2.6126594300392,0.335213199487106,0.000667833862353728,0.326107107992321,1,0.03,0.378333047632454,0.885291577366299,-1.64084361753208,4.47242727153458,0.989690721649485,0.927835051546392,0.2
