"","X","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent","power","bias.mean","bias.sd","bias.min","bias.max","ci.coverage.true.psi","ci.coverage.smooth.true.psi"
"1",0,-1.49137076321048,4.33187671146257,0.295703495353183,0.00228327019293886,0.284740848317784,0.00348983829391463,0.000446898661185135,0.00314626161909755,-4.36706622707419,0.8,-1.61898117564684,0.294806711547628,0.0022083534772739,0.283746264171423,-1.70165497496307,0.366781662437336,0.00254140887536749,0.352847081642852,0,0.02,0.22,0.210284211752591,0.570529693708731,-0.734967691689338,2.57173026173248,0.989795918367347,0.979591836734694
"2",0.1,-1.49800444085037,2.08043617548768,0.302310246322105,0.00216414750137652,0.291239897366935,0.00346020393992043,0.000431660091962588,0.00311628943249356,-4.46191782961705,0.8,-1.69634273334707,0.303570437455171,0.00203896374132484,0.29266893456641,-1.79103009920759,0.380226354751325,0.00233570260328305,0.36622235695362,0.1,0.01,0.22,0.293025658357218,0.798105823266639,-0.698314598126857,5.6803017045818,0.98989898989899,0.98989898989899
"3",0.2,-1.54788982502236,1.15675157830848,0.307174010179038,0.00203913658766533,0.296056492504981,0.00343515466290484,0.000415690768227938,0.00309083411985789,-4.55755999586949,0.8,-1.75340555895659,0.307834197005004,0.00190825763013455,0.296986741389835,-1.88171277956675,0.390241877570074,0.00211541128863161,0.376354754181416,0.2,0,0.21,0.333822954544393,0.763304677370049,-0.740923990192789,4.54373175876407,0.99,0.99
"4",0.3,-1.64403997734639,0.684260378330167,0.310220769295037,0.0019104007647878,0.299145588784544,0.00341882779577349,0.000398873749827445,0.00307098717762795,-4.6213092040247,0.8,-1.74272149185715,0.311163004078254,0.00190224699374776,0.300330670109974,-1.97345156578628,0.396535966045686,0.00189647228999566,0.382889957881212,0.3,0,0.22,0.32941158843989,0.632002545238348,-0.748935151915474,2.7212071631224,0.99,0.98
"5",0.4,-1.7112251143036,0.666654830831409,0.311413067036476,0.00177888682193353,0.300469040876923,0.00341106313801136,0.000381636510046395,0.00306295029745235,-4.69069707094716,0.8,-1.7440310424294,0.311867158995215,0.00180882225524265,0.301674404619692,-2.06643290930077,0.398922333786082,0.00168049330796323,0.385652142073516,0.4,0,0.22,0.355207794997171,0.615955314168845,-0.741264687670197,2.75842281006301,0.99,0.96
"6",0.5,-1.77916134692425,0.664632601504189,0.310687777961364,0.0016462549063403,0.299913281667757,0.00341463812361847,0.000363744129212465,0.00306802237293345,-4.76586269414562,0.8,-1.97269303124114,0.310003955796844,0.00154053732268538,0.299307504185927,-2.15369480572223,0.397329831578688,0.00148462604001289,0.384537348724984,0.5,0,0.19,0.37453345879798,0.604176934570896,-0.744118378687178,2.73776065947789,0.99,0.99
"7",0.6,-1.8430784515,0.66770371281687,0.308083476544513,0.00151541694729635,0.297560519979719,0.00342767717098891,0.000345436820390823,0.0030835118670396,-4.83140651575462,0.8,-1.95406882385168,0.307121764705581,0.0014772177831239,0.29678788013561,-2.24676408550097,0.391805971182121,0.00128999429222403,0.379606386859625,0.6,0,0.2,0.403685634000968,0.59592651004866,-0.698554155974501,2.74260358773033,0.99,0.96
"8",0.7,-1.89643040765692,0.691062953003848,0.303657839646879,0.00138531272902878,0.293504585370573,0.00344833920519097,0.000327009224803239,0.00310698890639452,-4.89619515332716,0.8,-1.9552945885471,0.304448036398159,0.00136098673607349,0.294955047262261,-2.33537697194974,0.382514570662924,0.00111471507572347,0.370995824529735,0.7,0,0.2,0.438946564292818,0.59997860640525,-0.646277486916929,2.74623393865428,0.99,0.94
"9",0.8,-1.95291740509195,0.712799728642274,0.29746390430664,0.00125954520407387,0.287665790827445,0.00347792232917362,0.000308211556546179,0.00313565031550866,-4.96268328070734,0.8,-2.03781376914318,0.296833278785752,0.00123041028503981,0.28745843639992,-2.42712131240795,0.369727684111432,0.000950302899126045,0.358964334500864,0.8,0,0.21,0.474203907316003,0.605323680722397,-0.688175488997268,2.44085379654599,1,0.95
"10",0.9,-1.99022487824484,0.766593826834217,0.289615572424712,0.00113858295502158,0.280324216822622,0.00351030356199986,0.000289330725907919,0.00316496195462559,-5.01500768011142,0.8,-2.07503812357798,0.290524958836154,0.00120387089465272,0.281082035417176,-2.51932252736097,0.35381237049778,0.000800997201825259,0.343863841487392,0.9,0,0.22,0.529097649116131,0.628359496980757,-0.678126851642693,2.17349867764101,1,0.94
"11",1,-2.0204585248679,0.925204201836433,0.280296246930459,0.00102263813696972,0.271442308884822,0.00354312112333599,0.000270529773200311,0.00319125161371306,-5.06903765175504,0.8,-2.18400323180949,0.279401122613977,0.00100067490627027,0.270666112928658,-2.60977219375211,0.335213199487106,0.000670338666353544,0.326099306313727,1,0,0.24,0.589313668884208,0.720989268926369,-0.700096879810178,3.2782666435727,1,0.95
