"","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent","power","bias.mean","bias.sd","bias.min","bias.max","ci.coverage.true.psi","ci.coverage.smooth.true.psi"
"0",-1.24677422931204,2.27185617922566,0.295999275641101,0.0027031761532045,0.284783462722209,0.00504871151513696,0.000503347667881901,0.00313592444394642,-4.19367183764294,0.8,-1.4475831262415,0.294675270211536,0.00259863462576392,0.283741730732385,-1.59793889150907,0.366781662437336,0.0028567237820999,0.352661350425384,0,0.04,0.36,0.351164662197033,0.977977082831472,-0.747845270716586,4.94878070202879,0.989583333333333,0.96875
"0.1",-1.30972834019428,1.47804442697542,0.302460379717266,0.00265174448740127,0.291495882937635,0.00498524808162804,0.000497064067066131,0.00310019628164226,-4.25404325542398,0.8,-1.4383621681727,0.302697525828433,0.00264008013197091,0.291638428403209,-1.69027658618172,0.380226354751325,0.00260820728808021,0.366087315556495,0.1,0.05,0.34,0.380548245987442,0.762729180639597,-0.692411785541645,3.11784957262743,0.989473684210526,0.968421052631579
"0.2",-1.28784089741977,1.55080667269015,0.307204178750882,0.00258582305900461,0.296560103374206,0.00493472544644204,0.000488829962706863,0.00306932525426109,-4.30890422942183,0.8,-1.43729853652813,0.306539345693758,0.00245851987503157,0.296277257138632,-1.77769537622402,0.390241877570074,0.00237454303374238,0.376193591669855,0.2,0.05,0.35,0.489854478804252,0.816303079812081,-0.607689702033586,4.38837885313258,1,0.957894736842105
"0.3",-1.21475388232749,3.09743638399088,0.310131484279617,0.00250428039329266,0.299849272044456,0.00490067867894032,0.000479081442009062,0.00304716057089953,-4.36178734100686,0.8,-1.47971462124045,0.310899005959636,0.00234364273823556,0.300672013786462,-1.86969356370427,0.396535966045686,0.00212653162402265,0.382742625994287,0.3,0.04,0.36,0.654939681376772,0.996115173989767,-0.529509383434863,5.90317338278346,1,0.96875
"0.4",-1.30839374731807,1.76306214400379,0.311232200210698,0.00241248914964631,0.301337703217369,0.00488628046027382,0.000467713520083669,0.00303661982857678,-4.40249627252563,0.8,-1.50780152012327,0.312140617802505,0.00221206134898031,0.302217736951295,-1.96081125192809,0.398922333786082,0.00188784396355481,0.385509034888884,0.4,0.06,0.34,0.652417504610016,0.769007932489869,-0.428856729689084,3.76434583347259,1,0.968085106382979
"0.5",-1.33908041542711,1.25202186700291,0.310413938435678,0.00231002796648001,0.300983260838681,0.00489404478168833,0.000455213932776579,0.00303908931241817,-4.44306862766344,0.8,-1.42075238635437,0.310585321259688,0.00222168782844763,0.301441641556159,-2.05135162463004,0.397329831578688,0.00166121584301955,0.384408217820329,0.5,0.07,0.4,0.712271209202922,0.707470060505998,-0.360987019992411,3.9882931777048,1,0.935483870967742
"0.6",-1.35066219185825,12.0736904304607,0.307699072747908,0.00219835789796318,0.298804021061984,0.00492169535639098,0.000441202860867111,0.00305464259076288,-4.47724045541292,0.8,-1.48644589649796,0.308832246857796,0.00208007031409902,0.299727705164118,-2.14165059438417,0.391805971182121,0.00144851665268925,0.37947405603798,0.6,0.08,0.42,0.790988402525916,0.667179527795872,-0.342155223603424,2.82381513841444,1,0.956521739130435
"0.7",-1.36706283192592,1.79597986609519,0.30316864789394,0.00207985375652601,0.294827274939419,0.00496752142511827,0.000426184446946369,0.00308109459025753,-4.50115630446621,0.8,-1.40613593478602,0.304549116714781,0.00210281832003841,0.29601817061736,-2.23300971532554,0.382514570662924,0.0012469267971567,0.370883364446011,0.7,0.1,0.4,0.865946883399624,0.66273735588059,-0.3014424088752,3.05561314571604,1,0.9
"0.8",-1.33923757217085,2.00654480776871,0.296903995224507,0.00195557731422921,0.289126918587996,0.0050270628943912,0.00041000665599729,0.00311451639632853,-4.52421846623307,0.8,-1.43496765487252,0.297986274423143,0.00189724793602823,0.290106182002543,-2.32175147769857,0.369727684111432,0.00106610351728638,0.358860344699344,0.8,0.11,0.42,0.982513905527725,0.755367387764476,-0.239748815974036,3.70653500785808,1,0.943820224719101
"0.9",-1.2858324107026,3.42041301747225,0.289012912808071,0.00182812285179783,0.281842563297023,0.00509402963446653,0.000393244568138285,0.00315039011943925,-4.53727700216406,0.8,-1.38795479021123,0.289856377951917,0.00184644679146078,0.28257338193347,-2.41669821937046,0.35381237049778,0.00089648682361823,0.343763838683075,0.9,0.12,0.43,1.13086580866787,0.918484983555051,-0.17019513306139,6.13296735045518,1,0.897727272727273
"1",-1.3363268322785,8.11887884123504,0.279636881754705,0.00170010814352758,0.273034893281927,0.00516398314155711,0.00037547167160129,0.00318570064701926,-4.54523553657107,0.8,-1.5009473287403,0.280152885806604,0.00154416150630901,0.273331181412731,-2.50542440048978,0.335213199487106,0.000752308253508803,0.325998359071778,1,0.15,0.44,1.16909756821128,0.799255650824875,-0.115705168230988,3.6902986814235,1,0.929411764705882
