"","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent","power"
"0",-1.98560332828344,6.01070103634102,0.347070663456953,0.00225690483007444,0.338226308414727,0.0213488967369231,0.000581008614845428,0.00575328244412807,-2.52573209512957,0.5,-1.81836952205037,0.332792634864018,0.00211011262001134,0.319916685752352,-1.80803778304434,0.366781662437336,0.00226557422104422,0.352965127910421,0,0.38,0.29
"0.1",-2.15175370461772,8.41888112423065,0.35950049555215,0.00208583831256848,0.349195612394145,0.021490654744501,0.00055110074143119,0.00571166674833941,-2.58181617938649,0.5,-1.73118211135837,0.342940463875321,0.00226346100240252,0.33024161827411,-1.89598949315675,0.380226354751325,0.00207938888901192,0.366379424849244,0.1,0.36,0.27
"0.2",-2.13993432663207,2.17384665947933,0.360900514360657,0.00191836941543806,0.351834880260733,0.0171991311027851,0.000483673201778477,0.00477668993220764,-2.7310643539655,0.6,-1.83908519623126,0.338699651971875,0.00190528969230543,0.326855767238282,-1.98598566417439,0.390241877570074,0.00188490358891645,0.376508044751604,0.2,0.34,0.29
"0.3",-2.10979136041686,4.62378694294045,0.367098300660109,0.00175763430294986,0.356924024274757,0.0172229817126894,0.000456134500774075,0.00474933486201599,-2.74554914348854,0.6,-1.85612343873503,0.340477105594345,0.00178234642694657,0.329196316051616,-2.07790531384364,0.396535966045686,0.00168995565227858,0.383037074137789,0.3,0.32,0.27
"0.4",-2.35091783501119,3.3538496821562,0.370314429269945,0.00159852206122921,0.359118038066098,0.0172271867597957,0.000428913674910435,0.00472482620115266,-3.04377261746528,0.6,-2.04983418274113,0.34187546123096,0.00153380955954137,0.330156857614045,-2.16968835816355,0.398922333786082,0.00150027158949725,0.385786623341878,0.4,0.3,0.28
"0.5",-2.46528651655513,4.75880617850764,0.361656529059381,0.00146169230095166,0.352335122362583,0.0140615880133962,0.000380938277823825,0.00405796242424914,-3.25107044957979,0.7,-1.90474654750807,0.325814539484989,0.00153024746710326,0.31557702183638,-2.25827519950166,0.397329831578688,0.00132317285564356,0.384671599883898,0.5,0.33,0.23
"0.6",-2.54793868638408,2.23116320407787,0.359114211152639,0.0013185198235761,0.348881619849539,0.0140871664479822,0.000357180976648012,0.00409486539565403,-3.37788544774,0.7,-1.95671968101909,0.321786366905482,0.00142953297503615,0.311820015426707,-2.35174283833793,0.391805971182121,0.00114788981362034,0.379748696926541,0.6,0.3,0.24
"0.7",-2.63671907751048,5.14477415724085,0.353806339631292,0.00118257040685514,0.342722665412067,0.0141103854873236,0.000333734784599586,0.00416744640933804,-3.49068476626812,0.7,-2.07736615672401,0.317937637751467,0.00121222695370932,0.308567113665466,-2.441829193809,0.382514570662924,0.000990442510296704,0.371130378528984,0.7,0.29,0.22
"0.8",-2.58999921612599,6.1972716429235,0.338061726930628,0.00108308095394665,0.328533818464458,0.0119055211724564,0.000299924813173889,0.0037361958758381,-3.65763769414203,0.8,-2.21591806414769,0.297786654675175,0.00101464041139101,0.288980664449187,-2.5301892594349,0.369727684111432,0.00084738670813094,0.359087996400036,0.8,0.34,0.19
"0.9",-2.58797531067006,3.02159829393547,0.314140698610686,0.00101671801083994,0.30782529024694,0.0092517881548969,0.000266824203907545,0.00313892115736595,-3.64641278012889,1,-1.9544131878307,0.265315269717792,0.00114131901317997,0.257371691692397,-2.62293315150411,0.35381237049778,0.000714410534024177,0.343970599766405,0.9,0.41,0.12
"1",-2.65649643726501,3.60888952872696,0.303363896769964,0.000907264566089149,0.295389245555995,0.00941004143603795,0.000249919301146388,0.00321769041177543,-4.00840462989919,1,-2.07463250617088,0.25852619251569,0.00097528580656017,0.250799289788048,-2.71335002666592,0.335213199487106,0.000598148338758494,0.326193296948373,1,0.36,0.23
