"","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent","psi_95_l","psi_95_h","bias.mean","bias.sd","bias.min","bias.max","cover.true.psi","cover.smooth.true.psi"
"0",-1.91079384776797,1.55955165256003,0.336379968273621,0.00241772133144529,0.320039934558582,0.0240708397658532,0.000612613331395466,0.00716058439559411,-2.19913442457187,0.5,-1.49891438559342,0.332967203538141,0.00294687584242568,0.31977455219283,-1.70351585232671,0.366781662437336,0.0025432270272625,0.352811139434309,0,0,-1.91122581019953,-1.91036188533642,-0.207277995441264,0.00216580620520031,-0.212069289548001,-0.201416620524897,FALSE,FALSE
"0.1",-1.96991633745844,1.58973477233748,0.348168032170527,0.00223079181642761,0.332173116995076,0.0239677982490059,0.000588527237984873,0.00722706733620595,-2.19546269570778,0.5,-1.58754886689903,0.342597881380624,0.00268670712425375,0.329455198178419,-1.79156121395238,0.380226354751325,0.00233296758839312,0.366231324084686,0.1,0,-1.97037775390127,-1.96945492101561,-0.178355123506065,0.00231348497477455,-0.182270259093505,-0.16862314994829,FALSE,FALSE
"0.2",-1.8181397455721,1.70044872344436,0.350582200834387,0.00200254243680629,0.338245791375785,0.0198171172996274,0.000504122253992984,0.00596051503481444,-2.12434275971114,0.6,-1.6207747362445,0.335946593230833,0.00246002353269609,0.323506237877548,-1.88060762654571,0.390241877570074,0.00212174526190118,0.376328558145601,0.2,0,-1.81860410826631,-1.81767538287788,0.0624678809736146,0.0023282571148107,0.0592473435010727,0.0729214896734252,FALSE,FALSE
"0.3",-1.81686241899703,1.89766923578602,0.357937454122922,0.00180734825872182,0.346817729148725,0.0199681815596491,0.000472497818625942,0.00599455270761748,-2.00621239379507,0.6,-1.70226503405805,0.339916815605551,0.00223072067778344,0.327678278637151,-1.97379279501404,0.396535966045686,0.00189808721841723,0.382873676536125,0.3,0,-1.81735889863741,-1.81636593935664,0.156930376017016,0.00248928751054368,0.15319050983784,0.166038436473548,FALSE,FALSE
"0.4",-1.86394473813264,2.05755813647734,0.362723634976098,0.00160751040133757,0.352356616316177,0.0202109016340456,0.00043805893403506,0.00602486338148727,-1.95551212020365,0.6,-1.78452145591426,0.341449509577985,0.0020073888257325,0.329492038931382,-2.06709662783952,0.398922333786082,0.00167844542761055,0.385659513516519,0.4,0,-1.86436374845691,-1.86352572780836,0.203151889706881,0.00210086594124907,0.198933626833233,0.210319092502553,FALSE,FALSE
"0.5",-1.72331459709537,2.20172859986517,0.355951973918586,0.00142484407195164,0.347968490077451,0.0166581432580976,0.000378025631583727,0.00499049932953077,-2.11011852722988,0.7,-1.80345840327871,0.325596216874621,0.00184983044065076,0.314366625462699,-2.15399452177748,0.397329831578688,0.00148410106876812,0.384538038880185,0.5,0,-1.72391878347978,-1.72271041071096,0.43067992468211,0.00302931580354704,0.425068652537328,0.442255451632981,FALSE,FALSE
"0.6",-2.06047320738193,1.82332052857934,0.355076643622067,0.00124280316873176,0.345321029719785,0.016772111794706,0.000346592619609222,0.00501122741575565,-2.45477111062791,0.7,-1.88231784941026,0.322635554817292,0.00165622200722868,0.311756308586998,-2.24461845136955,0.391805971182121,0.00129156191123468,0.379617741312874,0.6,0,-2.06088691277246,-2.06005950199141,0.184145243987611,0.00207426765957493,0.179117842375666,0.188567533772878,FALSE,FALSE
"0.7",-2.43721502282133,1.47321206052867,0.351253828037174,0.00107049059769887,0.339006205407497,0.0168593387851231,0.000314416690036228,0.00502902169094518,-2.84860072002685,0.7,-1.96294521270207,0.317588122957061,0.00147155743735812,0.307110241223166,-2.33520291285699,0.382514570662924,0.0011126224742182,0.371019449127651,0.7,0,-2.43771041889457,-2.43671962674809,-0.102012109964341,0.00248385463891598,-0.107316354056569,-0.0954514467237453,FALSE,FALSE
"0.8",-2.56871613880754,1.237086039802,0.336680324559118,0.000945985101820986,0.324336092612093,0.0140831531176977,0.000277852966102825,0.00426548648747007,-3.2257191714127,0.8,-1.95964155805665,0.297490715955315,0.00137362054728523,0.287742429247858,-2.42723247828874,0.369727684111432,0.000949213280390181,0.358975480562,0.8,0,-2.56915857672819,-2.56827370088688,-0.141483660518799,0.00221832901189468,-0.146820288444968,-0.136406362611044,FALSE,FALSE
"0.9",-2.36712658418272,1.24077799029919,0.312988206372117,0.000867021431276986,0.30373990708558,0.0105270859702004,0.00024761510921837,0.00323257631933347,-3.5276365014707,1,-1.86600924360033,0.265943314330851,0.00135467409992692,0.25718879420896,-2.51843335825559,0.35381237049778,0.000801869838723965,0.343861854806337,0.9,0,-2.36776084914467,-2.36649231922077,0.151306774072873,0.0031801260711097,0.142349376048785,0.156984441807139,FALSE,FALSE
"1",-2.66102388158504,1.11952948463458,0.303254125860349,0.00074622764256749,0.292574856217724,0.0108348387845503,0.000227160332402071,0.0032873378525226,-3.77623930231052,1,-1.92549017468191,0.258935208229091,0.00122226043118401,0.250552323193792,-2.60781425823067,0.335213199487106,0.000671800459681053,0.326097297672316,1,0,-2.66169641702976,-2.66035134614033,-0.0532096233543707,0.00337200953828763,-0.0641018753915659,-0.0471084763415255,FALSE,FALSE
