"","X","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent","power","bias.mean","bias.sd","bias.min","bias.max","ci.coverage.true.psi","ci.coverage.smooth.true.psi"
"1",0,-1.3329553597801,6.54870845683513,0.295966488172079,0.0024125327012543,0.285844927858467,0.00504548068898344,0.000467452948610167,0.00604453899186384,-4.30308556280928,0.8,-1.55881286152452,0.296168522313729,0.00226556467197888,0.285383466190321,-1.59816265292827,0.366781662437336,0.00277310041312991,0.353071619438023,0,0.11,0.4,0.265207293148166,1.03356328519342,-0.87074343337996,6.46771565577721,0.97752808988764,0.97752808988764
"2",0.1,-1.41539049524151,2.31922140604729,0.302430494168078,0.00230535023827171,0.292195349145003,0.00498079858612667,0.000453881816931359,0.00595798771038334,-4.39091426789667,0.8,-1.59692924813418,0.302425508418496,0.00226046351978314,0.291300971249775,-1.68896758118169,0.380226354751325,0.00257092595587313,0.366307648493865,0.1,0.11,0.39,0.273577085940176,0.898554645590476,-0.854818612657176,4.39577447610102,0.97752808988764,0.966292134831461
"3",0.2,-1.49644530713372,4.40506625419386,0.30719625145577,0.00218875560766942,0.296870433485986,0.00492981090589916,0.000439010741419165,0.00588185616447409,-4.47183307227765,0.8,-1.60014706042583,0.30614689134229,0.00224811142293078,0.295155463565794,-1.77923817895109,0.390241877570074,0.00235864531983159,0.376266100578778,0.2,0.12,0.33,0.28279287181737,0.87881910588538,-0.903608909546456,4.58290519925088,0.977272727272727,0.931818181818182
"4",0.3,-1.61049667002408,2.22232558614204,0.310141089400958,0.00206620675253279,0.29980292194283,0.00489539043257006,0.000423358841671465,0.00582960031060066,-4.5505788600641,0.8,-1.61488625638718,0.309888390584112,0.0021557131427714,0.299076109283223,-1.86614637854416,0.396535966045686,0.0021487871089005,0.382647622060853,0.3,0.13,0.32,0.255649708520074,0.722187567137191,-0.953419781388487,2.73765107084809,0.988505747126437,0.908045977011494
"5",0.4,-1.55788423413775,3.60845699423127,0.311225061079555,0.00193986516980448,0.300932935896092,0.0048797673401979,0.000406799387942926,0.00580616032919906,-4.62029173961027,0.8,-1.69105254383611,0.312217323050322,0.00195877790167422,0.301659882451683,-1.95606462016897,0.398922333786082,0.00193707550376593,0.385224413962935,0.4,0.11,0.31,0.398180386031217,1.01547448841098,-0.992191579099046,5.13406825483614,0.98876404494382,0.932584269662921
"6",0.5,-1.61621416358223,2.56146517397304,0.310388061184007,0.00180896630461535,0.300228367930714,0.00488731750236843,0.000389378447060028,0.00581662351618823,-4.6866863790338,0.8,-1.86493876853285,0.311107757125659,0.00168731668980594,0.300286212159618,-2.04954339210812,0.397329831578688,0.00171625556179512,0.384004214072978,0.5,0.1,0.29,0.433329228525893,0.951078601384726,-1.01664541360788,4.55367842649212,0.988888888888889,0.966666666666667
"7",0.6,-1.71243037174246,2.22762983075419,0.307665087783461,0.00167787678511862,0.297707676601709,0.00491540566002923,0.000371534606978368,0.00585950575849548,-4.74428038679439,0.8,-1.82137056252075,0.308896018035648,0.00166321391184654,0.298614694886561,-2.13756313450877,0.391805971182121,0.00151900273509287,0.378926725438179,0.6,0.11,0.33,0.42513276276631,0.863100107905603,-1.03897191173994,4.07851048077878,0.98876404494382,0.943820224719101
"8",0.7,-1.82306972528076,2.45002973050416,0.303153140313802,0.00154553990456046,0.293449512267019,0.00496166659451736,0.000353188699380899,0.00593055441675529,-4.79465911683723,0.8,-1.83008624838438,0.303308686072939,0.00164833330547348,0.293185992542842,-2.22823272455314,0.382514570662924,0.00132514452108384,0.370212664160558,0.7,0.13,0.31,0.405162999272376,0.791572968877425,-1.05224271414905,3.47093581842004,0.988505747126437,0.919540229885057
"9",0.8,-1.82888933468371,10.5515385899686,0.296895873791798,0.00141628045729983,0.287447953658084,0.00502270351389992,0.000334384399432222,0.00601531962755412,-4.83822921528476,0.8,-1.99642963664492,0.297592384975716,0.00130927220747054,0.287990229987711,-2.31695936228071,0.369727684111432,0.00114895771632708,0.358071759978158,0.8,0.12,0.34,0.488070027597007,0.903790938404804,-1.05436591721947,4.25331586382638,0.988636363636364,0.954545454545455
"10",0.9,-1.81280927926468,20.1306622344571,0.289035538453067,0.00128923305747908,0.279867178554632,0.00509151389141536,0.000315313737845362,0.00610694539504519,-4.88414726098755,0.8,-2.00533886617946,0.289021780841015,0.00123092145633765,0.280025077852821,-2.41171177472174,0.35381237049778,0.000976085354475728,0.342926055107577,0.9,0.12,0.33,0.598902495457063,1.20718695678759,-1.04520581437037,8.31013282145014,0.988636363636364,0.931818181818182
"11",1,-1.98647064080724,11.1318074559127,0.27964790912083,0.00116839857347374,0.270835600005616,0.00515986899419264,0.000296332593226943,0.00619383985442876,-4.93188252284379,0.8,-2.19125625247515,0.279735868105455,0.00101210916634054,0.270837280946599,-2.49598626459904,0.335213199487106,0.000833921714227444,0.325094648042423,1,0.15,0.33,0.5095156237918,0.892059662277627,-1.04119834028532,4.74298831247801,0.976470588235294,0.941176470588235
