"","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent","psi_95_l","psi_95_h","bias.mean","bias.sd","bias.min","bias.max","cover.true.psi","cover.smooth.true.psi"
"0",-0.93259917881043,6.02213727026181,0.361690343234382,0.00177408751373026,0.357180044252924,0.026126552725951,0.000488030318760984,0.00732502518186231,-0.158533640701032,0.5,-1.52011938693449,0.335215900537804,0.00226752015409159,0.324847049927378,-1.70113224710377,0.366781662437336,0.0025485053390594,0.352815474056278,0,0,-1.02211472930053,-0.891552512353037,0.768533068293342,0.0377635940686527,0.672801511392299,0.838784816702441,FALSE,FALSE
"0.1",-1.29024626305761,4.51094281835991,0.375706538480648,0.00163132552098976,0.369778319646559,0.0256616771979828,0.000462866851556393,0.00737261293419403,-0.361586020539105,0.5,-1.56757735230986,0.343909449710621,0.0021308148035773,0.333692155495976,-1.79339230675015,0.380226354751325,0.00232879550208814,0.366230747833778,0.1,0,-1.36262024804876,-1.25608983464746,0.503146043692535,0.0256246018513343,0.42238486090156,0.558753982175556,FALSE,FALSE
"0.2",-0.957110453651229,5.38968574027826,0.37466605202654,0.00149543177196837,0.370771070874385,0.0200968140263185,0.000406001459155986,0.00597716376568877,-0.814871057854507,0.6,-1.62204738860751,0.336673190909426,0.00196971387384973,0.32669964998229,-1.88283283377384,0.390241877570074,0.0021128690534234,0.376355898950622,0.2,0,-1.00929867267454,-0.924044615070093,0.925722380122612,0.0257631905357119,0.853965476948353,0.978234374838362,FALSE,FALSE
"0.3",-1.74719851036685,2.63562616440114,0.381459595154571,0.00136198384198048,0.373644057901721,0.0195859857798861,0.000383210550299402,0.00595160468115396,-1.58750281991316,0.6,-1.672350173905,0.340024353702467,0.00184338125957361,0.330208962346339,-1.97165048662642,0.396535966045686,0.00190158994397438,0.382877755643319,0.3,0,-1.77125137995932,-1.7263198843336,0.224451976259568,0.0135969523243631,0.186372444557733,0.261251657941651,FALSE,FALSE
"0.4",-2.372083427455,1.55252891627009,0.385039496107332,0.00123127510523279,0.371841571807962,0.019201718617728,0.000360564780915247,0.00592079751212009,-2.31850333851621,0.6,-1.72628825416525,0.341006852339322,0.00171550083473906,0.331366156157291,-2.06684509971718,0.398922333786082,0.00167995680930009,0.385650909364795,0.4,0,-2.39258121139002,-2.35120752936477,-0.305238327737819,0.0131314885065169,-0.330627977414487,-0.266163985827901,FALSE,FALSE
"0.5",-2.6890962842614,1.03022228722189,0.375647538949451,0.00112942873919973,0.359025510517263,0.0157015986756945,0.000318734719367841,0.00482737558396748,-2.93716836530072,0.7,-1.76608186902779,0.325169727440158,0.00159491946091491,0.315842804951676,-2.15572281707515,0.397329831578688,0.00147964711069785,0.384554367817168,0.5,0,-2.71305105711925,-2.67068106908614,-0.533373467186251,0.0130088269811222,-0.559506680929337,-0.498555074375913,FALSE,FALSE
"0.6",-3.15095908143847,0.753961346224455,0.374199730963658,0.00101572966772869,0.350475825524126,0.0157108964961208,0.000298220536282157,0.00482058562267345,-3.40528190688949,0.7,-1.81910448460702,0.321858096420187,0.00147856142615454,0.312740792931012,-2.24385172652302,0.391805971182121,0.00129435295426124,0.379600764381971,0.6,0,-3.17078188935889,-3.12840833713638,-0.907107354915448,0.0134031610813374,-0.937258419906507,-0.867185920929372,FALSE,FALSE
"0.7",-3.50949269667917,0.626794471095396,0.370336715674947,0.000909387416426161,0.339939693380093,0.0158950213094514,0.000278029929702735,0.00482703462034271,-3.77066220085197,0.7,-1.87456339725902,0.316513936845274,0.00136321385762554,0.307628546090327,-2.33666719854417,0.382514570662924,0.00111302183419573,0.370998472600061,0.7,0,-3.53476554165343,-3.48552969591159,-1.17282549813499,0.0179572625310118,-1.19880019936609,-1.09283793206692,FALSE,FALSE
"0.8",-3.64209104636032,0.529995555521784,0.354595119588475,0.000838212077395215,0.322605084931319,0.0134561839576026,0.000249189276654689,0.00405815729496997,-4.06433012279536,0.8,-1.8984213533461,0.296444619918615,0.00126611949908106,0.287992831520923,-2.4285978806762,0.369727684111432,0.000947216010025818,0.358983444421544,0.8,0,-3.6703465375216,-3.61792652856158,-1.21349316568412,0.0196285977759452,-1.24821295808929,-1.12237515960665,FALSE,FALSE
"0.9",-3.59025407423205,0.458242412531501,0.329039113453701,0.000796438458336582,0.300177388706988,0.010095880251863,0.00022414119495329,0.00302766868794894,-4.3164552795075,1,-1.87983623518873,0.264999665097017,0.00118666997531874,0.257224091113627,-2.52000058231763,0.35381237049778,0.000800102299567277,0.343868215936202,0.9,0,-3.61627268896155,-3.56329327749269,-1.07025349191442,0.0169613393299773,-1.09767324000847,-1.00840935148177,FALSE,FALSE
"1",-3.83026191890489,0.441571429728221,0.320113778503533,0.000709931329859041,0.287408819853402,0.0104782949911096,0.000211038387769685,0.00308830359170577,-4.53426664143326,1,-1.9216122704525,0.257770616527658,0.00109821009708915,0.250267684054907,-2.6100267291759,0.335213199487106,0.000669608053633183,0.326106922114916,1,0,-3.85854343929218,-3.80244494189284,-1.22023518972899,0.0176131303056908,-1.25137961231743,-1.17845535260629,FALSE,FALSE
