"","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent","psi_95_l","psi_95_h"
"0",0.073529282076459,1.47829426346323,0.314087951046827,0.00396301240890845,0.310402390787356,0.00365761515919724,0.00070935146757787,0.00414608733480617,-0.857362751596274,0.6,-1.63857464525806,0.31866989529263,0.0021331368041002,0.30768887648196,-1.70307194983817,0.366781662437336,0.00254097703720056,0.352829693828542,0,0,0.0204743185674661,0.145569306156607
"0.1",0.328873350196858,1.96680613406925,0.322710713169996,0.00384733504257647,0.319933768716381,0.00363938629037092,0.000697988034565414,0.00414044520965991,-0.787794955291073,0.6,-1.65705977088043,0.327962616712984,0.00210039545669848,0.31694841603878,-1.79340188957372,0.380226354751325,0.00233059535404443,0.366219796852712,0.1,0,0.228693542825027,0.467846591512699
"0.2",0.669048726558748,2.92299177171948,0.329269803997028,0.00367921866488062,0.327363752621005,0.00362149994281464,0.000678459292773908,0.00414260396450201,-0.726989566250333,0.6,-1.67584005813355,0.335052934787017,0.00205197784412554,0.3240886386483,-1.88499366611674,0.390241877570074,0.00210745658012405,0.37636150947913,0.2,0,0.539454376029117,1.00004686182104
"0.3",1.21241167893569,5.47089780704678,0.333654261616845,0.00347024241272144,0.332599695433392,0.00360780123099134,0.000651470556785305,0.00415105995169148,-0.663097706773302,0.6,-1.69582615806241,0.339786531968616,0.00198761990176126,0.328951722481661,-1.97645618363468,0.396535966045686,0.00189042159705598,0.382892563769418,0.3,0,1.06090357939905,1.5182896592436
"0.4",NA,17.3199433313046,0.335741853893896,0.00322222743119206,0.335508148374489,0.00360198869286552,0.000617864327046003,0.00416747013076934,-0.602196818650884,0.6,-1.71795731425425,0.342059171855448,0.00190764111083855,0.33142763485693,-2.06404894929358,0.398922333786082,0.00168486321254788,0.385649314757075,0.4,0.08,2.10319675167044,2.5677138549774
"0.5",NA,19.854412275685,0.335548264501963,0.00294849067252645,0.335844782526356,0.00360282801319994,0.000578934130989293,0.00418740789882246,-0.577829750781301,0.6,-1.74318827411348,0.341818713250346,0.00181294815104201,0.331456740827195,-2.15552298940301,0.397329831578688,0.0014821024969928,0.384535724567675,0.5,1,NA,NA
"0.6",NA,9.14520132271124,0.33303406956495,0.00265718096145455,0.33364390491544,0.00361177175154891,0.000536200751424285,0.00420840878625162,-0.593135107286534,0.6,-1.77246629987491,0.33906555795529,0.00170501162689912,0.329030966896945,-2.24822501936141,0.391805971182121,0.00128562270052095,0.379629954001071,0.6,1,NA,NA
"0.7",NA,9.43660800762068,0.328267175792927,0.00234882398401188,0.328855061248856,0.00362510116576247,0.00049085875178758,0.00422879962523322,-0.683337990294278,0.6,-1.80669878247221,0.333851972106775,0.00158581698564576,0.324193857002923,-2.33823102031509,0.382514570662924,0.00111128983992049,0.37099839785005,0.7,1,NA,NA
"0.8",NA,25.2180551071411,0.321322886840732,0.00203918636305074,0.321557351463809,0.00364018938828459,0.00044479141235911,0.00424105027166584,-0.860979642842621,0.6,-1.84671470139296,0.32628057409958,0.00145778904143589,0.317039707822983,-2.42979292777962,0.369727684111432,0.000946561114925575,0.358978034209834,0.8,1,NA,NA
"0.9",1.41541245985016,13.1263491887962,0.312306630790047,0.00174363318168318,0.311877831165276,0.00365379905340727,0.000399261046125158,0.00424504730132744,-1.09846044422885,0.6,-1.89322547449657,0.31650203870696,0.00132368967416145,0.307711741531661,-2.52195360519719,0.35381237049778,0.000798559051269176,0.343867993715711,0.9,0,1.1851856603293,1.66200266425679
"1",0.0412620357869129,3.94013284519284,0.301388305653579,0.00144987873033142,0.299997054539203,0.00366236237808541,0.000355290920392564,0.00423720926502021,-1.4351262110298,0.6,-1.94679203745211,0.304711822524424,0.00118649063688319,0.296399060369332,-2.61155245220374,0.335213199487106,0.000669019482499092,0.326101034297777,1,0,-0.178939222572699,0.144502605740013
