"","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent"
"0",NA,1.01620372381564,0.296035905016055,0.00254321064172426,0.286086917943984,0.00239156247087897,0.000476237974438982,0.00612542878953122,-4.31767050835817,0.8,-1.33858207210738,0.297013651645491,0.00262186839092016,0.287126537265276,-1.80795040682361,0.366781662437336,0.00226127166316579,0.352992571818236,0,0.04
"0.1",NA,1.05274237644358,0.302692991420094,0.00245771539872194,0.29273946179973,0.00236955961402837,0.000466307666471261,0.00612788207469663,-4.38731795209676,0.8,-1.40285984483902,0.302348149686791,0.00249285725349972,0.292279808132151,-1.89490205048883,0.380226354751325,0.00208308173529695,0.36636990997492,0.1,0.04
"0.2",NA,1.39785052433894,0.307560328331048,0.0023618318751397,0.297647362805771,0.00235237476163077,0.000455080042883931,0.00610951003026565,-4.44031502842382,0.8,-1.36581811221797,0.307321770019665,0.00239342434665983,0.297977870513595,-1.98711004049507,0.390241877570074,0.00188659491923751,0.376480256792366,0.2,0.04
"0.3",NA,2.52205649340682,0.310624352839482,0.00225524671060221,0.300883562135289,0.00234131979723984,0.000442482167547641,0.00606155677472535,-4.49620119965549,0.8,-1.50508082806585,0.312282636032141,0.00213967828976585,0.302705133232523,-2.07865810439395,0.396535966045686,0.00169092978180714,0.383019121540429,0.3,0.05
"0.4",NA,1.94556564993851,0.311843203812242,0.00214186902962,0.302245704023258,0.00234078161357464,0.000428870560161682,0.00605487877639517,-4.56068701823279,0.8,-1.48555577305408,0.31174555547048,0.00208275273837042,0.302641604349552,-2.1701072445824,0.398922333786082,0.00149911431414066,0.385791256651924,0.4,0.05
"0.5",NA,1.2910994298927,0.311113110800067,0.00202122971323007,0.30183291057507,0.00234418373978528,0.000413958602876603,0.00605061928156634,-4.59360237769553,0.8,-1.33053480360739,0.310562106873986,0.0021282584803297,0.302536958273019,-2.26137988914553,0.397329831578688,0.00131797768601774,0.384682093452924,0.5,0.07
"0.6",NA,1.96329773039423,0.308497668285696,0.00189715351004405,0.299611191190939,0.00235195654690957,0.000398388067315414,0.00604636685293737,-4.65150395199784,0.8,-1.41763288624515,0.308497994452468,0.00192435842871411,0.300568742657618,-2.35126183735052,0.391805971182121,0.00114875648046142,0.37974539612302,0.6,0.07
"0.7",NA,1.43394786275785,0.303993704395182,0.00176912376544415,0.295542594674405,0.00236766826759353,0.000381751840131456,0.00600848120086692,-4.68530410309799,0.8,-1.5734196066903,0.304519017664593,0.00157579067036623,0.297012435906286,-2.44160165002864,0.382514570662924,0.000990651356877357,0.371130568690279,0.7,0.08
"0.8",NA,19.3487909606144,0.297779416529709,0.00164008239482558,0.289865798534415,0.00238768564474136,0.000364377209780494,0.00608864168815863,-4.7281248512026,0.8,-1.42254531242585,0.298096208282638,0.00162447444579451,0.29139689353812,-2.53196864763758,0.369727684111432,0.000845785125380717,0.359089192509911,0.8,0.11
"0.9",NA,1.68407524772564,0.289901264677223,0.00151117264407889,0.282618910796143,0.00241241578328731,0.000346402912785065,0.00608816967588372,-4.78076280666911,0.8,-1.34909854744657,0.289943626009637,0.00157121605551724,0.283903749130702,-2.62143284879723,0.35381237049778,0.000715111219226942,0.343975716112264,0.9,0.12
"1",NA,5.42189256765266,0.28053811017118,0.00138395543382191,0.273787280852866,0.00243558289693183,0.000327990599569216,0.00609694190984557,-4.80348566045339,0.8,-1.53866402829154,0.280900061247697,0.00125954422825379,0.275052936689085,-2.71464420847358,0.335213199487106,0.000597054399320161,0.326198133648366,1,0.11
