"","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent"
"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.63694247670458,0.295557852023197,0.00220296770235224,0.284352730584523,-1.80310515380071,0.366781662437336,0.00227682288143568,0.352964849879538,0,0.04
"0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.65648675552248,0.302635133759375,0.00204453410883366,0.291996086006297,-1.89799709798,0.380226354751325,0.00207260146610904,0.366396886954781,0.1,0.04
"0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.80489721540414,0.306986731614437,0.00177657382949028,0.29627249922801,-1.98680209168216,0.390241877570074,0.00188476825147556,0.376497814398825,0.2,0.04
"0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.81564065194052,0.310107993719532,0.00178616237159766,0.299440316833971,-2.07745015470499,0.396535966045686,0.00169068672238948,0.383037379958005,0.3,0.05
"0.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.86887396472921,0.311655895381022,0.00156223277331989,0.301675819027054,-2.16769798082584,0.398922333786082,0.00150321283864956,0.385787041297267,0.4,0.04
"0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.92036813659276,0.311247641392013,0.00153698266879596,0.300924278833113,-2.25989509415593,0.397329831578688,0.00131987548872833,0.384682673911523,0.5,0.06
"0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.95393014965002,0.308437267026884,0.00140129504903005,0.298568452651954,-2.34802239049123,0.391805971182121,0.00115259153446981,0.379744269221645,0.6,0.04
"0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.13588177831226,0.303673719547597,0.00113347684015626,0.294215187928904,-2.44361480448498,0.382514570662924,0.000987515008178565,0.371143741616942,0.7,0.05
"0.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.06420110799106,0.29709951627423,0.00113078804771033,0.288385221034443,-2.53271541162898,0.369727684111432,0.000844560278999765,0.359096663026194,0.8,0.1
"0.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.08663760189492,0.289629990531047,0.00106570398180059,0.281187183676288,-2.6217456591848,0.35381237049778,0.000714984284808301,0.343974385205649,0.9,0.12
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.25655177820002,0.280688619948593,0.000866579633213755,0.272603282133754,-2.71614765501363,0.335213199487106,0.000596100722933813,0.326198991236414,1,0.14
