"","X.1","X","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent"
"1",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.53200678874547,0.295031179281706,0.00232509600626277,0.28433009869704,-1.40090192187197,0.366781662437336,0.00338848828418588,0.353028265962816,0,0.08
"2",2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.57692390004407,0.30284593991932,0.00222427089010441,0.292108697971157,-1.40315212780111,0.380226354751325,0.00328346637580696,0.366869204857543,0.1,0.08
"3",3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.62747199139155,0.3070774493366,0.00217203683363469,0.296120355397842,-1.40512512099227,0.390241877570074,0.00315694875967744,0.377374038543131,0.2,0.08
"4",4,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.66980308570336,0.309975816154899,0.00204035163249389,0.299138818767734,-1.40727968440271,0.396535966045686,0.00300304257886248,0.384269052870859,0.3,0.07
"5",5,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.81509912119891,0.311194442847495,0.00183577052039789,0.299981121416758,-1.40930854737339,0.398922333786082,0.00281822319344058,0.387386996164725,0.4,0.06
"6",6,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.78422312790106,0.310736742209926,0.00182652850966148,0.300006203602027,-1.41087501988887,0.397329831578688,0.00262684148998836,0.386560987150511,0.5,0.08
"7",7,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.90443227709535,0.307496417220995,0.00159460540179918,0.29695588184079,-1.41258582106807,0.391805971182121,0.00242195444124781,0.381860068698745,0.6,0.08
"8",8,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.84338065603294,0.302769126353782,0.00161827800851715,0.292587870626,-1.41421884092511,0.382514570662924,0.00221314036349734,0.373411322172625,0.7,0.1
"9",9,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.92721085715953,0.297139822552504,0.00137039414650422,0.287784581741073,-1.41550261192419,0.369727684111432,0.00200085147860937,0.361487065286723,0.8,0.1
"10",10,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.09509074539026,0.289679498287376,0.00113489198618294,0.280606105439629,-1.4168439760069,0.35381237049778,0.00179261644614407,0.346419469387402,0.9,0.09
"11",11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.02231077942059,0.280370500130965,0.00117437651723583,0.271615720715557,-1.41814616651826,0.335213199487106,0.00158702016834684,0.328659666336946,1,0.11
