"","X","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent"
"1",0,NA,0.652065573862056,0.296051561082942,0.00261846215346419,0.285070412963628,0.00250410181038299,0.00048621632187284,0.00314587306021613,-4.24058895518325,0.8,-1.41307621527364,0.295522090090395,0.00265484195785028,0.284740997530406,-1.40927361245605,0.366781662437336,0.0032687920701655,0.353402557838209,0,0.01
"2",0.1,NA,2.66107962924656,0.302694347044884,0.00254811267096122,0.291822030489619,0.00247672242184532,0.000478118139754004,0.00311398506133804,-4.3045139466335,0.8,-1.39471882311556,0.302959474430861,0.00259338497819826,0.292546474296284,-1.41198499093321,0.380226354751325,0.00312757127143422,0.36739050853322,0.1,0.01
"3",0.2,NA,0.577932792658896,0.307595510914158,0.00246408948718293,0.296918792774865,0.00245513299667179,0.000468195924323672,0.00308602736304809,-4.36658627493366,0.8,-1.47724583418801,0.307208041476649,0.00238154827772467,0.29693227099445,-1.41426937134325,0.390241877570074,0.00296651891122418,0.378039161532803,0.2,0.01
"4",0.3,NA,0.752476992824702,0.310658296303132,0.0023685337440203,0.300241048430156,0.00244107263029683,0.000456954211026129,0.00306478272988634,-4.43181180711735,0.8,-1.34068386824364,0.310349119438664,0.0025448383915347,0.300642371592208,-1.41682160270984,0.396535966045686,0.00277866170522941,0.385076787672807,0.3,0.01
"5",0.4,NA,0.579268848501413,0.311873121168962,0.00226335673878157,0.301757988464116,0.00243497034728997,0.000444519597756314,0.00305653102126774,-4.47381154461409,0.8,-1.32588934628945,0.311520487975608,0.00241524344591892,0.302533461119486,-1.41849826183165,0.398922333786082,0.00258695925073955,0.388235832175332,0.4,0.02
"6",0.5,NA,0.557833032538036,0.311163395404751,0.00214953275625344,0.301452855221036,0.00244065205517767,0.000430614481271857,0.00305832706272553,-4.55296090187518,0.8,-1.42750192767408,0.310731116545603,0.00217041139212225,0.301756390178865,-1.42018547246707,0.397329831578688,0.00238299330508133,0.38746927257464,0.5,0.02
"7",0.6,NA,0.582975689883812,0.308563206566625,0.00202889006759005,0.299271039473811,0.00245158448262399,0.000415636168842055,0.00307364961465105,-4.55021487842251,0.8,-1.4978934525109,0.307988984187034,0.00194777878347615,0.299318412668825,-1.42195425042138,0.391805971182121,0.00217128437587669,0.382805534277039,0.6,0.02
"8",0.7,NA,0.632419261978472,0.304108859507602,0.00190422807987874,0.295307510570041,0.0024721106375845,0.000399650312916527,0.0030976041880406,-4.59279760190992,0.8,-1.39593017662447,0.304391108322274,0.0019912154587666,0.296470254292646,-1.42365540916046,0.382514570662924,0.00195418503927368,0.37440026483079,0.7,0.02
"9",0.8,NA,0.708373911680013,0.297874961235571,0.00177555805140809,0.289675870160983,0.00249866711681944,0.000382693105826689,0.00312617041449551,-4.63184749005205,0.8,-1.34338234225537,0.298220046776769,0.00193495454599974,0.290865783353567,-1.42518734020471,0.369727684111432,0.00174513116563286,0.362470317338537,0.8,0.02
"10",0.9,NA,0.981128724054268,0.289999191474467,0.00164588733937502,0.282362169135386,0.0025280884792001,0.000364851736864534,0.00315649412294554,-4.65072814769688,0.8,-1.4390824334123,0.289674712828278,0.00159637279341583,0.283029669118444,-1.4265764949623,0.35381237049778,0.00153958787349826,0.347400883269192,0.9,0.02
"11",1,NA,3.77439186851476,0.280620159353631,0.00151629304707106,0.273590839272108,0.00255776731083184,0.000346567090001065,0.00318400137016023,-4.67949883439117,0.8,-1.34991077593016,0.280444880333664,0.00164296969029227,0.274161919149729,-1.42770206177133,0.335213199487106,0.00134932075017521,0.329587735790856,1,0.02
