"","X","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent"
"1",0,NA,0.777010036778387,0.296054948250371,0.00228446399032776,0.284969923367401,0.00250433563949555,0.000444448897077937,0.00435307637979395,-4.36875979320129,0.8,-1.64602548961942,0.295066809341663,0.0021304679279126,0.284091466848699,-1.70246928491232,0.366781662437336,0.00254317607405084,0.352826032484907,0,0.01
"2",0.1,-1.4964609379045,0.882982010503836,0.302696632966403,0.00216532680597466,0.291419070199869,0.00247687087053142,0.00042979060135379,0.00430465505512423,-4.45631129701404,0.8,-1.62913816874521,0.302129700213215,0.00225843127273053,0.290661359167293,-1.79149509979593,0.380226354751325,0.00233412456905255,0.366225309274769,0.1,0
"3",0.2,NA,1.24684308144662,0.307602147814076,0.00204044898049802,0.296213900570976,0.00245496520238157,0.000413902569331522,0.00426011827578934,-4.54070378949289,0.8,-1.74702933653042,0.307909649225043,0.00196774814637645,0.296745986448863,-1.88143684987608,0.390241877570074,0.00211832801299323,0.376339443270385,0.2,0.02
"4",0.3,NA,1.12691346068821,0.310675807947851,0.00191078170658167,0.299263544977312,0.00244149353995938,0.000397348355657596,0.00422754432639691,-4.63222737728424,0.8,-1.73469262798743,0.310126002848561,0.00187564004114174,0.29953961830271,-1.9743884401253,0.396535966045686,0.00189683489925686,0.382874555706286,0.3,0.01
"5",0.4,NA,0.81033213001111,0.311890749664698,0.00177923272825655,0.300485358410352,0.0024359607888398,0.000380091965815258,0.00421249572399317,-4.70404126496265,0.8,-1.84202157919768,0.310376755216606,0.00167814203555699,0.299910481341435,-2.06502608418965,0.398922333786082,0.00168433147498826,0.385640531906882,0.4,0.02
"6",0.5,NA,1.12920775907556,0.311146250060511,0.00164678178782056,0.299909156783245,0.00244003560616616,0.000362488188657232,0.0042188124848293,-4.78277353693072,0.8,-1.79822063483197,0.310790873866149,0.00170861670596635,0.300610664183223,-2.15843384624417,0.397329831578688,0.00147749603247846,0.384538309277885,0.5,0.02
"7",0.6,NA,1.29827076586348,0.308551757921986,0.00151492638483711,0.297528487889557,0.00245226034516854,0.000344409720545882,0.00424677358834467,-4.83302140832613,0.8,-1.92773915122249,0.308587157439169,0.00144000034521609,0.298771692915492,-2.24675006825772,0.391805971182121,0.00128878978386437,0.379617948839977,0.6,0.02
"8",0.7,NA,2.66948941129392,0.304091693802629,0.00138543915868547,0.293394952718885,0.00247222276298173,0.000326058428700203,0.00428613305835174,-4.90749056936533,0.8,-1.96653173977922,0.303917188507893,0.00134155944642068,0.294433510391376,-2.33914027859953,0.382514570662924,0.00110910651891613,0.371010568006705,0.7,0.01
"9",0.8,NA,9.09634293982728,0.297875318167384,0.00125943314853244,0.287576753138916,0.00249848654223469,0.000307421667354092,0.00432997760862759,-4.98622968261598,0.8,-2.03918689997327,0.297281165893213,0.00121818843672771,0.287977200021727,-2.4283815612819,0.369727684111432,0.00094882955325777,0.358967469949128,0.8,0.02
"10",0.9,NA,0.96494169491726,0.290004503834888,0.00113858944691342,0.280125387976814,0.00252812567661352,0.000288654557097332,0.0043773176371101,-5.0196498646269,0.8,-2.16731123374651,0.289218570105379,0.00100771773955296,0.28058308967307,-2.51878300403958,0.35381237049778,0.0008005367949429,0.343874922754901,0.9,0.02
"11",1,NA,0.890403598840694,0.28061366501919,0.00102222005301926,0.271274689073486,0.00255777666957474,0.000269809023614332,0.00442043768715616,-5.10737773605872,0.8,-2.16676147557537,0.280528215302695,0.00104453172092071,0.271678242312202,-2.61050751728468,0.335213199487106,0.000670098208057184,0.32609587385366,1,0.03
