"","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent"
"0",NA,3.39490528953985,0.321765320483271,0.00257024747098617,0.309231593220944,0.003685595018497,0.000538282084471763,0.00441986025147946,NA,0.6,-1.55261959762817,0.322118784309498,0.00255639848299004,0.310288612547194,-1.59659169526891,0.366781662437336,0.00286089297471965,0.352659780564602,0,0.0202020202020202
"0.1",NA,1.16352973208204,0.330516933715309,0.00242949112547732,0.317659975040405,0.00366735216761265,0.000520830831285331,0.00440645323896552,NA,0.6,-1.65614888018717,0.331755749116414,0.00224762063509187,0.320004947166132,-1.68785045678147,0.380226354751325,0.00261870879498181,0.366064786607803,0.1,0.0303030303030303
"0.2",NA,1.51539971673934,0.337004836136777,0.0022851359242985,0.323919543860411,0.00365098234170314,0.000502171120851505,0.00439295296308754,NA,0.6,-1.69984223281856,0.336630295265281,0.00223879410569635,0.324434005854935,-1.78181578823732,0.390241877570074,0.00236300904236738,0.37620410674173,0.2,0.0202020202020202
"0.3",NA,1.54124990987154,0.341100333886076,0.00213399001526783,0.327899438951022,0.00363984953168587,0.000482769047912004,0.00438251603669267,NA,0.6,-1.80127231135015,0.341038092168907,0.00202174923982368,0.328971886528215,-1.86914311455369,0.396535966045686,0.0021292575794791,0.382732544779437,0.3,0.0303030303030303
"0.4",NA,5.33600605574803,0.342704863761716,0.00197596246290144,0.329520426969476,0.00363542472708435,0.000462601748215727,0.00437684406136185,NA,0.6,-1.94652740414829,0.344575029829922,0.00180723346075023,0.332343531510541,-1.95886289674679,0.398922333786082,0.00189381747439254,0.385492783604383,0.4,0.0101010101010101
"0.5",NA,1.08981239339428,0.341780532471109,0.00182484180392029,0.328744892354212,0.00363856746694189,0.00044140677778384,0.00437677310739827,NA,0.6,-1.90279121040851,0.34031939027967,0.00169757513483737,0.3291789955036,-2.05206832902946,0.397329831578688,0.00165805855128621,0.384423529832726,0.5,0.0101010101010101
"0.6",NA,0.766392663678297,0.338346181531101,0.00165658238491602,0.325591688711575,0.00364874193430307,0.00041993365553031,0.00438218106580746,NA,0.6,-2.04527186116556,0.337901363660518,0.00153229092032456,0.326577450583393,-2.1427530016668,0.391805971182121,0.00144452097842902,0.379494508356282,0.6,0.0101010101010101
"0.7",NA,0.736484556403239,0.332470981431042,0.00149675183038803,0.32012526213547,0.00366449152231574,0.000397544701333036,0.00439155171203099,NA,0.6,-2.02673322088109,0.332493987844717,0.00146083225478995,0.321635745742289,-2.23176978076912,0.382514570662924,0.00124859848733312,0.370882203410083,0.7,0.0101010101010101
"0.8",NA,0.851978138388338,0.324283929556084,0.00136132043379174,0.312456226616117,0.0036827928892522,0.000374622608346031,0.00440274421023148,NA,0.6,-2.02453970329912,0.324509287273775,0.00138652611372322,0.314370933032645,-2.32050584809598,0.369727684111432,0.00106774005470577,0.358857211653949,0.8,0.0101010101010101
"0.9",NA,0.918558275662056,0.313964722175285,0.00120852817804521,0.3027659298293,0.00370039806535142,0.000351255524728583,0.00441261365245107,NA,0.6,-2.13725626211823,0.313914696922214,0.0011804004690125,0.304166105285175,-2.41375383728291,0.35381237049778,0.000900583589267948,0.343747597109592,0.9,0.0202020202020202
"1",NA,1.2199552883889,0.301727463582087,0.00108329444580105,0.291230536101858,0.0037136461440474,0.000327415179492518,0.00441720086049103,NA,0.6,-2.32677895417398,0.300699049575916,0.000962066362283088,0.291152310821319,-2.50473094606343,0.335213199487106,0.000753635575488606,0.325988500155473,1,0.0202020202020202
