"","X","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent"
"1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.45741235127957,0.295869811997466,0.00259533047306154,0.284696313155381,-1.40060083381995,0.366781662437336,0.00339446913895043,0.35300813818405,0,0.07
"2",0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.34593073531911,0.301208244946228,0.00279098308286388,0.29059985795303,-1.4030177375655,0.380226354751325,0.00328483290113653,0.366865441525827,0.1,0.07
"3",0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.52045125835179,0.308178553748999,0.00227492205651805,0.297872724352165,-1.4052765824377,0.390241877570074,0.00315732860067156,0.377370540933675,0.2,0.06
"4",0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.39430277207059,0.30935567352985,0.00244750335981516,0.299587430025558,-1.40725408273091,0.396535966045686,0.00300379745760329,0.384266283449258,0.3,0.04
"5",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.43704777462898,0.311275346305267,0.00223908767376155,0.301923413497532,-1.40922968699727,0.398922333786082,0.00281906149358504,0.387384474813872,0.4,0.06
"6",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.40167960000884,0.310245613043357,0.00236647374703479,0.30073949534244,-1.41089028637912,0.397329831578688,0.00262974599159346,0.386548915441558,0.5,0.05
"7",0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.35412612945248,0.307527205857789,0.00231911372845804,0.298561998250663,-1.41271873599625,0.391805971182121,0.0024239239648124,0.381850657609182,0.6,0.03
"8",0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.33698792053889,0.303554023540719,0.00213827577015416,0.295479040293382,-1.41409634942844,0.382514570662924,0.002212090011215,0.373416757030417,0.7,0.03
"9",0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.41068155182019,0.296946665518335,0.00190081417706437,0.289241010125051,-1.41578211829809,0.369727684111432,0.00200132444671226,0.361482813169164,0.8,0.04
"10",0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.35524011850691,0.290824143910226,0.00183024185713537,0.283766337084061,-1.41705597918628,0.35381237049778,0.00178728303825146,0.346439901989374,0.9,0.05
"11",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.45201818209646,0.279823230029101,0.00164968374957586,0.272840321968018,-1.41824530426384,0.335213199487106,0.00158814329780735,0.328654378226472,1,0.06
