"","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent"
"0",NA,1.20000449047342,0.333774158251192,0.00242690507535233,0.320758532074037,0.00447694693482653,0.000563606682116659,0.00530998934688249,-4.09642003935064,0.5,-1.58233531591663,0.333922041128616,0.00253772694995912,0.321706922440053,-1.70297051124234,0.366781662437336,0.00254307830369221,0.352819572584359,0,0.03
"0.1",NA,1.21471665794334,0.343630896776914,0.00225960801123845,0.3302928389598,0.00447224424282456,0.000541590226596271,0.00532078823630182,-4.21600881303248,0.5,-1.75318843793533,0.342668557423071,0.00223188308455745,0.329961843088354,-1.79093909547628,0.380226354751325,0.0023357369250372,0.366223425550033,0.1,0.04
"0.2",NA,0.971916718634635,0.336945827607526,0.00208616137488068,0.324058304776277,0.00362278586786333,0.000476275178517573,0.0043760551495376,-4.42719296744502,0.6,-1.75124559171901,0.335533719281259,0.00214566774168999,0.323467809494365,-1.87984067898873,0.390241877570074,0.00212104746720688,0.376343797113427,0.2,0.03
"0.3",NA,0.955319457384425,0.341023922101828,0.00192890413354148,0.328078570849555,0.00361515941026931,0.000455571668690011,0.00436788630324295,-4.51914910171586,0.6,-1.88190489844526,0.341556852085639,0.00187187468382713,0.329387941485814,-1.9722483054385,0.396535966045686,0.00189886723583889,0.382889155670822,0.3,0.02
"0.4",NA,0.94991160309426,0.34262742468387,0.00177137158834787,0.329795553822358,0.0036139063968673,0.000434330849278901,0.00436336235815487,-4.59928665644518,0.6,-1.88393422601135,0.343384780834221,0.00177100207098814,0.331898047175821,-2.06391990593687,0.398922333786082,0.00168551747010722,0.385645873994954,0.4,0.02
"0.5",NA,1.7403241510117,0.326447180619979,0.00163537885183278,0.314546128798877,0.00295807848889428,0.000384943361179959,0.00363381154955085,-4.7414232030475,0.7,-1.98136422034597,0.324163979437883,0.00147874170148664,0.313509230108182,-2.15647765262328,0.397329831578688,0.00148005281704268,0.384541215236509,0.5,0.02
"0.6",-1.94078270259677,1.07638809276336,0.323441992790024,0.00149288766191905,0.311867456363176,0.00296931575456418,0.000364796377006822,0.00364410648387996,-4.81455783158377,0.7,-1.9375346463367,0.32339884172919,0.0014799450250826,0.313338782812659,-2.24563168751901,0.391805971182121,0.0012901230946654,0.379618977108413,0.6,0
"0.7",-2.0210822732883,0.741592139671301,0.31831288987343,0.00135432574779869,0.30714231594394,0.00298745074448049,0.000344392910027883,0.00366044842040602,-4.88319033235161,0.7,-2.11060296943314,0.31744963637802,0.00125320933391311,0.307343858371318,-2.33596679072466,0.382514570662924,0.0011121755380766,0.371015285978533,0.7,0
"0.8",-2.03792638939274,0.556841284385134,0.297880237199801,0.00125958473496096,0.287676226006359,0.00250052049092211,0.000307320253374949,0.00313516391396789,-4.97287989269171,0.8,-2.0040756714604,0.296480796661585,0.00128167070807616,0.287234835257863,-2.4305681524804,0.369727684111432,0.000945198570511485,0.358985183361856,0.8,0
"0.9",-1.97362898858697,0.440294241666765,0.265981905691367,0.00121213398751949,0.257021307493235,0.00180198704483581,0.000267553204080143,0.00242291268249973,-4.98123419744193,1,-1.95347173265026,0.265897223520192,0.0012108449210599,0.257410460002636,-2.5202906462292,0.35381237049778,0.000800015386632986,0.343866411597265,0.9,0
"1",-2.01794337055162,0.463567015880801,0.258913823564402,0.00110916541977876,0.250337557754154,0.0018392634605401,0.000252202451741905,0.00246248866732247,-5.0440125070876,1,-2.09793200171024,0.258487824924345,0.00100068628813641,0.250519970371934,-2.61013033056238,0.335213199487106,0.000669970784122043,0.326101045209784,1,0
