"","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent"
"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.44229675458613,0.296707054795148,0.00253821948749039,0.286085228155397,-1.8027198426246,0.366781662437336,0.00227896197571064,0.352957196615299,0,0.06
"0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.40277498186065,0.303758437290262,0.00246978394573854,0.293875889823171,-1.89491998019968,0.380226354751325,0.00207991847790416,0.366390703569719,0.1,0.05
"0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.38238378782503,0.308010523487823,0.00252798020124446,0.298108474179165,-1.98304938623799,0.390241877570074,0.00189373823617501,0.376484129456529,0.2,0.06
"0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.47108279641996,0.310353196749379,0.00211362816219923,0.301196108174213,-2.07719662567254,0.396535966045686,0.00169287533711628,0.383023332151837,0.3,0.09
"0.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.4557057482174,0.311023144965601,0.00199845477654565,0.30249834404113,-2.16890191929542,0.398922333786082,0.00150135020990207,0.385787513217917,0.4,0.12
"0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.51349107387877,0.310595718171607,0.00183547581091438,0.302289815478962,-2.26296150149019,0.397329831578688,0.00131365557212667,0.384703615854337,0.5,0.12
"0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.30855587916584,0.308851498227364,0.00202812429177389,0.301359693853303,-2.35280635755674,0.391805971182121,0.00114575128751171,0.37975835364422,0.6,0.15
"0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.39523613153015,0.303613315270733,0.00186017847655737,0.296155035239369,-2.4409451991,0.382514570662924,0.000990183588929346,0.371143411072385,0.7,0.16
"0.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.53400397086881,0.297279873003503,0.0014307194989051,0.290723529419842,-2.53135042955056,0.369727684111432,0.000846541904677438,0.359086254313667,0.8,0.21
"0.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.42675231136069,0.289340032086738,0.00152239674146641,0.28303684230782,-2.62148430881997,0.35381237049778,0.000715243697719855,0.343973387513837,0.9,0.24
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.37063466844118,0.27979180467523,0.00151199082725818,0.273895981864748,-2.71269032346254,0.335213199487106,0.000598451093476713,0.326194683002613,1,0.24
