"","X","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent"
"1",0,NA,1.31482101474826,0.296053471872758,0.00261886608383748,0.285910818884307,0.00250430597557939,0.000486321229856364,0.00609154524905186,-4.23985495897969,0.8,-1.47305632638282,0.296048678677884,0.00246626200527807,0.285355844978778,-1.40944616992668,0.366781662437336,0.00326980200663869,0.353396114610175,0,0.08
"2",0.1,NA,1.44501545708743,0.302686620134395,0.0025479925847734,0.29269065673054,0.00247687385104786,0.000478085834861063,0.00600926930607543,-4.30479630742062,0.8,-1.39414872465667,0.301755417034792,0.00262842746258119,0.291227047296445,-1.4120934542468,0.380226354751325,0.00312240136294044,0.367410336330759,0.1,0.09
"3",0.2,NA,1.72724180740726,0.307604749348848,0.0024642381457439,0.297699787698962,0.00245496874803542,0.000468243130656457,0.00593538052114194,-4.36639413445162,0.8,-1.45347775307824,0.306532063720233,0.00242722692289596,0.29628391703887,-1.41427060019863,0.390241877570074,0.00296697480268905,0.37803727123472,0.2,0.09
"4",0.3,NA,2.37915363037395,0.310672026893283,0.00236857101933377,0.301006112332915,0.0024405570959589,0.000457076824878635,0.00587948336941163,-4.42185866447073,0.8,-1.40732338765505,0.311217249092066,0.00230171780403247,0.301944019211515,-1.41667542919625,0.396535966045686,0.00278136191711193,0.385067328554435,0.3,0.11
"5",0.4,NA,1.85249252338781,0.311875542342987,0.00226315747706813,0.302511417453477,0.00243525538856491,0.000444400318786684,0.00584912616841804,-4.48305824434283,0.8,-1.34085813781523,0.311785180152228,0.00236724784231678,0.30275780618136,-1.41822754560926,0.398922333786082,0.00259151734528901,0.388219900801246,0.4,0.1
"6",0.5,NA,2.25165503384147,0.311164882020702,0.00214939992513157,0.302144641535934,0.00243889838369619,0.000430489419744412,0.00584625951397298,-4.51242857612908,0.8,-1.39039951195494,0.311441944233941,0.00216579149887264,0.302878999826232,-1.4205101453164,0.397329831578688,0.00237976599908677,0.387479429165753,0.5,0.08
"7",0.6,NA,2.80138268416384,0.308540556861425,0.00202892916453086,0.299966424931435,0.00245138669790761,0.000415658669381568,0.00589527429935594,-4.559635196262,0.8,-1.36691564467098,0.308993767452225,0.00222939995690028,0.300273446943166,-1.42208938244497,0.391805971182121,0.00216503318377221,0.3828302339742,0.6,0.07
"8",0.7,NA,2.03489816485899,0.304089440896857,0.00190408560319344,0.295982952389205,0.00247208237170006,0.000399596635561315,0.00595460020773325,-4.59172853255632,0.8,-1.39970007477616,0.303577990545836,0.00191628656414764,0.295868737179662,-1.42360562154114,0.382514570662924,0.00195627433595372,0.374391993918638,0.7,0.06
"9",0.8,NA,1.51309112962934,0.297880468995007,0.00177548050053001,0.290245461774086,0.0024983505547105,0.000382574467242053,0.00603180023048302,-4.62619516545708,0.8,-1.37328873414569,0.297484272616135,0.00184980615471672,0.290215935956372,-1.42502815918692,0.369727684111432,0.00174374634611464,0.362477230526459,0.8,0.08
"10",0.9,NA,1.63718448578622,0.289993584806627,0.00164571733998538,0.282875003182624,0.00252812859407795,0.000364918953391861,0.00611043669082995,-4.65489561485709,0.8,-1.42928418161949,0.289396222368079,0.00168051783171038,0.282504214696121,-1.42651827924527,0.35381237049778,0.00154128014922103,0.347394209574674,0.9,0.09
"11",1,NA,3.008199493804,0.280609533629293,0.00151603922786754,0.273967478038606,0.00255780368637024,0.000346527683169157,0.00618594165798769,-4.68232581491517,0.8,-1.38239101497183,0.279486590830556,0.00160588149597907,0.273150176793505,-1.42777999506271,0.335213199487106,0.00134864986005219,0.32959009459412,1,0.12
